@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
46, 32, 124, 139, 42, 34, 124, 135, 46, 37, 119, 131, 44, 34, 119, 136, 44, 34, 129, 136, 44, 31, 124, 136, 47, 31, 125, 135, 44, 31, 125, 135, 44, 31, 125, 135, 2
67, 73, 79, 60, 63, 66, 72, 60, 67, 70, 72, 60, 67, 71, 74, 58, 63, 67, 70, 55, 67, 71, 70, 58, 64, 69, 74, 61, 64, 66, 67, 54, 64, 69, 74, 61, 7
97, 115, 120, 94, 92, 115, 115, 94, 88, 111, 115, 91, 88, 107, 113, 88, 88, 107, 113, 88, 84, 107, 113, 88, 88, 111, 113, 92, 88, 111, 113, 92, 84, 111, 113, 92, 3
88, 106, 111, 87, 88, 106, 111, 87, 88, 102, 106, 87, 84, 103, 113, 88, 88, 107, 118, 88, 88, 107, 108, 88, 88, 107, 109, 87, 88, 111, 109, 92, 88, 107, 113, 87, 3
88, 103, 108, 85, 84, 95, 100, 85, 80, 95, 100, 74, 88, 95, 104, 83, 84, 99, 100, 79, 84, 95, 96, 79, 82, 96, 104, 78, 82, 96, 104, 81, 82, 96, 100, 81, 4
46, 31, 128, 135, 46, 31, 128, 135, 46, 31, 133, 143, 44, 37, 134, 137, 44, 32, 139, 141, 44, 34, 139, 146, 63, 56, 108, 103, 46, 34, 127, 144, 43, 32, 133, 144, 2
50, 34, 118, 125, 50, 36, 118, 128, 53, 51, 113, 103, 48, 37, 118, 125, 48, 34, 123, 125, 48, 37, 118, 121, 52, 34, 117, 122, 49, 34, 122, 118, 49, 34, 117, 122, 2
48, 34, 123, 125, 48, 37, 118, 125, 48, 34, 123, 125, 49, 34, 112, 118, 52, 34, 117, 122, 49, 34, 122, 118, 49, 37, 110, 116, 49, 37, 110, 116, 46, 37, 114, 116, 2
46, 34, 112, 111, 49, 34, 112, 111, 46, 37, 117, 114, 49, 37, 114, 116, 52, 40, 110, 113, 49, 37, 105, 113, 47, 37, 114, 119, 44, 34, 110, 119, 44, 37, 105, 111, 2
90, 109, 117, 89, 90, 113, 112, 92, 90, 113, 112, 92, 96, 112, 114, 90, 96, 112, 119, 90, 92, 108, 119, 90, 97, 111, 114, 94, 93, 115, 114, 94, 93, 115, 119, 94, 3
46, 37, 110, 113, 52, 45, 110, 109, 67, 70, 101, 83, 60, 63, 97, 94, 70, 79, 97, 80, 78, 92, 97, 76, 68, 77, 78, 61, 68, 77, 82, 61, 68, 81, 90, 68, 2
92, 112, 114, 90, 92, 108, 114, 90, 92, 108, 119, 90, 89, 106, 114, 87, 85, 106, 110, 83, 85, 97, 105, 76, 88, 98, 106, 79, 84, 98, 98, 79, 80, 89, 94, 76, 3
59, 66, 72, 57, 63, 73, 75, 64, 67, 70, 72, 60, 63, 67, 74, 58, 67, 71, 78, 62, 67, 75, 78, 65, 57, 59, 78, 61, 60, 62, 82, 65, 60, 62, 78, 68, 7
50, 34, 113, 114, 50, 39, 104, 103, 56, 51, 100, 92, 59, 51, 100, 83, 63, 64, 85, 67, 67, 75, 81, 62, 66, 63, 88, 70, 66, 71, 80, 59, 70, 71, 80, 59, 2
66, 71, 73, 55, 66, 75, 76, 63, 66, 79, 84, 63, 67, 73, 79, 57, 67, 77, 82, 60, 67, 73, 86, 64, 63, 71, 78, 58, 67, 71, 78, 62, 67, 75, 78, 62, 7
74, 83, 88, 74, 66, 71, 88, 70, 59, 60, 84, 70, 71, 81, 93, 75, 71, 77, 93, 75, 63, 63, 79, 72, 74, 84, 85, 73, 70, 84, 89, 73, 67, 67, 85, 73, 7
49, 40, 96, 89, 52, 46, 80, 63, 52, 46, 76, 66, 46, 32, 105, 113, 49, 45, 82, 72, 52, 42, 79, 72, 50, 37, 101, 104, 47, 40, 93, 94, 50, 40, 82, 80, 5
67, 77, 82, 60, 67, 73, 86, 64, 71, 77, 90, 64, 67, 71, 78, 62, 67, 75, 78, 62, 70, 79, 78, 58, 64, 73, 74, 57, 68, 73, 78, 57, 68, 77, 78, 61, 7
49, 45, 82, 72, 52, 42, 79, 72, 52, 42, 82, 72, 47, 40, 93, 94, 50, 40, 82, 80, 44, 34, 82, 83, 47, 31, 106, 105, 47, 37, 94, 87, 44, 34, 90, 87, 2
63, 67, 70, 55, 63, 71, 74, 55, 63, 67, 74, 55, 68, 69, 78, 54, 68, 69, 71, 57, 68, 73, 71, 57, 68, 71, 75, 59, 64, 75, 75, 56, 68, 71, 71, 56, 7
70, 79, 78, 58, 74, 79, 82, 65, 70, 79, 82, 62, 68, 77, 78, 61, 68, 77, 74, 61, 68, 73, 78, 61, 68, 71, 75, 56, 68, 71, 67, 56, 68, 71, 71, 59, 7
53, 49, 78, 73, 50, 49, 89, 87, 47, 37, 105, 115, 41, 31, 98, 113, 44, 37, 102, 102, 50, 46, 102, 102, 40, 29, 108, 121, 43, 31, 104, 117, 50, 42, 96, 96, 2
71, 75, 87, 88, 71, 75, 83, 70, 68, 75, 83, 67, 67, 68, 81, 67, 67, 72, 85, 67, 67, 75, 81, 67, 66, 71, 80, 66, 63, 71, 73, 66, 66, 71, 80, 66, 5
43, 31, 104, 114, 43, 29, 113, 114, 43, 29, 108, 114, 44, 34, 104, 104, 44, 32, 109, 104, 41, 32, 109, 112, 43, 29, 104, 107, 43, 32, 100, 107, 43, 32, 100, 103, 2
70, 75, 80, 59, 70, 79, 88, 66, 74, 79, 88, 66, 71, 81, 86, 68, 71, 81, 79, 64, 67, 73, 79, 60, 74, 79, 82, 65, 74, 79, 85, 62, 67, 79, 85, 62, 7
71, 81, 82, 64, 71, 81, 86, 68, 71, 81, 79, 64, 70, 79, 85, 69, 74, 79, 82, 65, 74, 79, 85, 62, 72, 81, 82, 65, 76, 81, 82, 65, 72, 85, 86, 68, 7
72, 77, 82, 68, 68, 73, 78, 61, 64, 73, 74, 65, 76, 83, 87, 67, 68, 83, 79, 67, 68, 83, 83, 70, 75, 87, 93, 75, 71, 79, 85, 67, 63, 75, 81, 67, 4
101, 116, 122, 96, 101, 116, 122, 96, 101, 116, 122, 96, 97, 121, 123, 96, 97, 116, 123, 100, 97, 116, 123, 96, 95, 118, 122, 96, 99, 118, 127, 100, 99, 118, 117, 96, 3
66, 79, 76, 59, 66, 79, 80, 63, 66, 75, 76, 59, 67, 77, 86, 60, 67, 73, 82, 60, 63, 73, 75, 60, 67, 75, 82, 58, 70, 79, 74, 58, 63, 75, 74, 55, 7
71, 84, 82, 64, 71, 77, 86, 68, 71, 81, 82, 60, 67, 79, 82, 65, 70, 79, 82, 62, 70, 79, 85, 62, 76, 81, 86, 65, 72, 81, 86, 65, 68, 81, 82, 65, 7
63, 73, 79, 57, 67, 81, 82, 60, 67, 77, 86, 60, 67, 75, 82, 62, 67, 75, 82, 62, 67, 75, 82, 58, 68, 77, 78, 61, 68, 77, 78, 57, 68, 77, 74, 57, 7
67, 73, 82, 60, 63, 73, 75, 60, 67, 73, 72, 57, 70, 79, 74, 58, 63, 75, 74, 55, 63, 71, 70, 55, 68, 73, 78, 54, 68, 73, 74, 54, 64, 69, 74, 57, 7
68, 79, 83, 67, 68, 75, 79, 63, 68, 75, 75, 56, 71, 79, 81, 62, 67, 79, 77, 58, 67, 79, 77, 58, 78, 91, 96, 74, 66, 79, 84, 66, 66, 79, 80, 63, 7
71, 83, 87, 70, 76, 87, 91, 78, 76, 91, 96, 74, 71, 83, 93, 71, 71, 79, 93, 71, 71, 79, 85, 67, 74, 83, 96, 74, 66, 71, 73, 59, 63, 63, 66, 52, 7
71, 87, 96, 74, 71, 87, 91, 70, 71, 91, 87, 70, 75, 91, 93, 71, 75, 87, 93, 71, 75, 91, 89, 71, 74, 91, 92, 78, 74, 87, 96, 74, 74, 83, 96, 74, 4
66, 100, 108, 89, 66, 96, 96, 85, 63, 87, 96, 78, 67, 103, 114, 90, 63, 91, 105, 83, 63, 88, 90, 75, 63, 106, 119, 94, 63, 97, 105, 87, 63, 88, 97, 83, 1
71, 108, 124, 98, 67, 112, 124, 98, 67, 112, 124, 98, 67, 106, 124, 101, 67, 111, 119, 97, 63, 111, 124, 97, 68, 111, 125, 98, 68, 115, 120, 98, 64, 115, 125, 98, 1
67, 75, 82, 62, 67, 71, 82, 65, 63, 71, 82, 65, 72, 77, 82, 61, 68, 69, 78, 65, 64, 62, 82, 68, 71, 79, 83, 63, 64, 68, 83, 67, 60, 61, 83, 70, 5
53, 56, 97, 90, 60, 56, 93, 87, 57, 60, 93, 80, 57, 55, 86, 79, 57, 55, 86, 76, 57, 55, 86, 72, 56, 57, 83, 70, 56, 54, 87, 78, 56, 57, 87, 70, 5
76, 94, 94, 76, 80, 102, 102, 79, 84, 102, 102, 83, 76, 91, 96, 74, 76, 91, 96, 74, 76, 91, 87, 70, 71, 79, 89, 75, 67, 75, 89, 67, 67, 72, 85, 67, 4
68, 115, 120, 98, 64, 115, 125, 98, 64, 115, 125, 102, 68, 116, 122, 103, 64, 116, 128, 103, 64, 112, 128, 103, 71, 116, 123, 100, 67, 111, 123, 100, 67, 111, 123, 100, 1
68, 75, 75, 59, 64, 75, 75, 63, 64, 75, 75, 59, 63, 75, 81, 62, 67, 72, 77, 62, 67, 68, 74, 58, 70, 79, 84, 70, 66, 71, 73, 63, 63, 63, 66, 55, 7
82, 100, 104, 81, 82, 100, 104, 85, 82, 100, 104, 85, 79, 99, 105, 83, 83, 99, 105, 83, 79, 99, 105, 83, 82, 97, 105, 87, 82, 97, 105, 83, 78, 97, 105, 83, 3
68, 85, 82, 65, 64, 81, 82, 61, 64, 77, 86, 65, 71, 87, 87, 70, 68, 83, 87, 63, 64, 83, 83, 67, 75, 87, 96, 71, 71, 83, 93, 67, 67, 79, 85, 62, 7
80, 103, 108, 85, 80, 99, 108, 85, 84, 103, 108, 85, 79, 107, 109, 87, 84, 107, 113, 87, 79, 107, 104, 87, 82, 104, 112, 89, 82, 104, 112, 89, 82, 104, 112, 89, 3
71, 83, 81, 62, 55, 61, 63, 46, 51, 54, 67, 50, 78, 96, 104, 81, 66, 79, 76, 59, 59, 56, 66, 44, 79, 95, 105, 83, 75, 84, 90, 68, 63, 66, 68, 49, 5
55, 54, 74, 58, 55, 54, 74, 58, 55, 54, 70, 58, 52, 56, 73, 59, 52, 53, 69, 59, 56, 53, 76, 59, 56, 54, 79, 64, 59, 57, 82, 68, 59, 60, 86, 75, 5
78, 87, 88, 70, 78, 87, 88, 70, 78, 87, 92, 74, 75, 91, 97, 72, 79, 88, 97, 72, 79, 88, 93, 72, 78, 88, 97, 69, 78, 92, 97, 73, 78, 92, 93, 73, 4
63, 108, 119, 98, 63, 112, 119, 94, 63, 108, 114, 94, 67, 111, 124, 94, 63, 106, 114, 94, 63, 102, 114, 90, 64, 106, 115, 98, 64, 106, 120, 94, 64, 102, 115, 94, 1
92, 116, 128, 103, 97, 121, 128, 103, 88, 116, 122, 96, 75, 107, 113, 92, 79, 111, 123, 100, 79, 107, 118, 92, 63, 87, 104, 81, 63, 96, 104, 89, 66, 100, 108, 92, 1
68, 83, 100, 85, 71, 95, 108, 88, 71, 103, 113, 92, 71, 107, 113, 92, 71, 103, 118, 92, 71, 107, 118, 96, 66, 104, 112, 92, 66, 109, 117, 92, 70, 104, 117, 92, 1
63, 61, 74, 54, 59, 54, 77, 54, 71, 79, 93, 75, 70, 75, 84, 66, 63, 56, 76, 55, 63, 60, 80, 59, 75, 81, 86, 68, 63, 63, 79, 57, 63, 70, 86, 72, 5
88, 107, 113, 92, 88, 107, 113, 92, 88, 107, 113, 92, 86, 113, 127, 96, 90, 113, 127, 96, 90, 109, 117, 96, 92, 117, 124, 101, 92, 117, 130, 101, 96, 112, 124, 98, 3
60, 71, 70, 58, 63, 75, 74, 62, 67, 84, 85, 69, 68, 73, 78, 61, 64, 69, 74, 61, 72, 81, 86, 68, 68, 83, 87, 67, 68, 79, 83, 59, 68, 75, 79, 59, 7
57, 98, 106, 91, 60, 106, 115, 98, 64, 106, 120, 98, 56, 87, 104, 92, 60, 103, 118, 92, 64, 107, 118, 96, 55, 87, 100, 83, 63, 95, 109, 92, 67, 107, 118, 96, 1
68, 111, 120, 94, 68, 111, 120, 94, 68, 111, 115, 94, 71, 112, 122, 96, 68, 112, 122, 99, 68, 112, 118, 96, 71, 111, 123, 100, 71, 107, 118, 96, 71, 107, 109, 92, 1
71, 79, 81, 67, 67, 72, 81, 62, 71, 83, 89, 67, 78, 91, 92, 78, 82, 100, 108, 85, 86, 104, 108, 89, 87, 112, 114, 90, 96, 108, 119, 94, 92, 108, 124, 90, 3
70, 75, 92, 78, 74, 87, 92, 78, 74, 79, 92, 74, 71, 77, 86, 72, 67, 73, 90, 68, 71, 73, 86, 68, 63, 63, 82, 69, 67, 71, 82, 65, 70, 75, 89, 73, 7
67, 103, 119, 90, 67, 103, 114, 90, 67, 99, 110, 86, 63, 102, 114, 87, 63, 97, 110, 87, 63, 92, 110, 87, 64, 98, 106, 87, 64, 98, 111, 87, 64, 85, 111, 87, 1
53, 66, 106, 91, 60, 94, 111, 87, 64, 98, 111, 91, 43, 34, 118, 125, 46, 48, 108, 107, 53, 75, 104, 92, 44, 32, 113, 125, 44, 32, 118, 129, 48, 34, 113, 125, 2
64, 83, 100, 85, 64, 95, 104, 85, 64, 99, 113, 92, 59, 72, 85, 75, 59, 79, 89, 79, 59, 79, 96, 79, 52, 71, 80, 74, 52, 71, 84, 70, 56, 75, 88, 74, 1
51, 83, 104, 83, 48, 75, 96, 75, 48, 72, 89, 75, 49, 83, 96, 81, 49, 79, 96, 78, 49, 71, 88, 78, 52, 73, 90, 75, 46, 73, 90, 75, 49, 73, 86, 79, 1
63, 95, 100, 83, 63, 95, 104, 83, 63, 95, 109, 92, 56, 71, 104, 89, 59, 87, 100, 81, 66, 91, 112, 89, 46, 34, 110, 124, 49, 51, 101, 101, 56, 73, 97, 79, 5
49, 83, 96, 81, 49, 79, 96, 78, 49, 71, 88, 78, 52, 73, 90, 75, 46, 73, 90, 75, 49, 73, 86, 79, 47, 67, 85, 69, 47, 71, 85, 73, 50, 75, 89, 76, 1
56, 81, 93, 79, 56, 84, 105, 86, 63, 99, 114, 94, 57, 79, 93, 80, 57, 88, 101, 83, 57, 88, 101, 83, 53, 77, 90, 76, 53, 77, 94, 79, 57, 81, 94, 79, 1
42, 32, 114, 135, 42, 30, 110, 139, 42, 30, 114, 135, 44, 31, 114, 133, 44, 31, 114, 133, 44, 31, 110, 133, 44, 34, 115, 128, 44, 31, 115, 131, 44, 31, 115, 131, 2
50, 79, 93, 80, 53, 79, 89, 76, 57, 79, 93, 80, 53, 77, 90, 76, 57, 77, 90, 76, 53, 77, 90, 76, 56, 83, 100, 81, 60, 87, 104, 85, 60, 83, 100, 85, 1
44, 29, 114, 136, 44, 29, 114, 133, 47, 37, 114, 122, 47, 31, 111, 124, 47, 37, 106, 124, 50, 43, 98, 109, 50, 57, 96, 96, 56, 61, 96, 88, 56, 61, 91, 85, 2
53, 69, 82, 72, 50, 66, 82, 72, 50, 73, 90, 76, 50, 71, 87, 74, 50, 75, 91, 74, 53, 75, 87, 78, 51, 72, 85, 75, 48, 72, 89, 75, 51, 83, 93, 75, 1
68, 111, 120, 98, 64, 106, 115, 94, 64, 106, 120, 98, 71, 112, 122, 99, 68, 112, 122, 99, 71, 112, 128, 99, 71, 107, 123, 100, 71, 111, 118, 96, 67, 99, 113, 96, 1
55, 68, 81, 71, 51, 72, 81, 71, 55, 75, 85, 75, 52, 71, 80, 70, 52, 71, 84, 70, 56, 75, 92, 74, 52, 70, 86, 72, 56, 73, 86, 75, 59, 77, 90, 79, 1
51, 72, 81, 71, 55, 75, 85, 75, 55, 79, 89, 79, 52, 71, 84, 70, 56, 75, 92, 74, 56, 79, 88, 78, 56, 73, 86, 75, 59, 77, 90, 79, 59, 84, 97, 83, 1
67, 106, 114, 94, 70, 106, 119, 94, 70, 106, 119, 94, 64, 102, 115, 94, 68, 106, 115, 94, 68, 102, 115, 94, 71, 107, 122, 96, 71, 103, 113, 92, 71, 103, 118, 92, 1
80, 94, 94, 76, 80, 94, 98, 79, 84, 98, 102, 83, 80, 95, 96, 74, 84, 95, 100, 81, 88, 99, 104, 81, 79, 95, 100, 79, 79, 95, 100, 79, 84, 95, 96, 79, 3
68, 106, 115, 94, 68, 102, 115, 94, 72, 106, 115, 94, 71, 103, 113, 92, 71, 103, 118, 92, 71, 107, 118, 96, 71, 111, 123, 96, 71, 103, 118, 96, 71, 107, 113, 92, 1
97, 112, 122, 92, 97, 116, 122, 96, 92, 103, 113, 88, 93, 111, 118, 96, 93, 111, 118, 96, 84, 99, 109, 83, 90, 104, 112, 92, 90, 104, 108, 89, 86, 100, 104, 89, 3
64, 87, 100, 85, 60, 83, 96, 81, 68, 83, 96, 81, 63, 95, 104, 83, 63, 95, 104, 83, 63, 95, 104, 87, 59, 87, 100, 89, 63, 96, 104, 89, 66, 100, 108, 92, 1
84, 98, 111, 87, 84, 98, 106, 91, 84, 102, 111, 87, 88, 103, 113, 85, 97, 107, 113, 88, 92, 112, 118, 92, 93, 107, 113, 87, 93, 107, 113, 87, 93, 107, 109, 87, 3
90, 109, 112, 92, 86, 109, 108, 89, 86, 109, 112, 89, 92, 108, 110, 90, 92, 108, 110, 90, 87, 108, 110, 86, 89, 106, 110, 87, 89, 106, 114, 90, 89, 102, 114, 90, 3
92, 106, 115, 87, 88, 111, 111, 91, 92, 111, 115, 91, 92, 112, 118, 88, 92, 112, 113, 92, 92, 112, 118, 92, 88, 111, 118, 87, 88, 111, 118, 96, 93, 111, 118, 96, 3
46, 36, 122, 139, 46, 31, 128, 135, 46, 31, 128, 135, 55, 51, 113, 108, 44, 37, 134, 137, 44, 32, 139, 141, 78, 83, 96, 74, 63, 56, 108, 103, 46, 34, 127, 144, 2
88, 103, 113, 83, 84, 95, 100, 83, 79, 87, 96, 75, 78, 96, 92, 81, 74, 91, 96, 78, 74, 87, 92, 74, 71, 73, 79, 64, 71, 77, 82, 68, 67, 77, 86, 68, 7
93, 115, 114, 94, 93, 115, 119, 94, 97, 115, 114, 97, 97, 115, 115, 94, 88, 115, 120, 94, 88, 111, 115, 91, 88, 107, 108, 88, 84, 99, 104, 81, 84, 99, 104, 78, 3
67, 72, 74, 58, 67, 72, 70, 54, 71, 72, 74, 58, 63, 67, 69, 55, 63, 71, 69, 55, 63, 67, 73, 55, 67, 66, 72, 53, 63, 70, 68, 53, 67, 70, 72, 57, 7
79, 95, 96, 75, 84, 95, 100, 79, 84, 99, 104, 79, 82, 96, 100, 78, 82, 96, 100, 78, 82, 91, 100, 78, 79, 95, 97, 75, 83, 95, 97, 75, 75, 84, 93, 72, 7
55, 51, 67, 50, 55, 51, 70, 54, 55, 45, 70, 54, 56, 49, 73, 59, 56, 49, 69, 52, 56, 46, 69, 52, 52, 48, 75, 60, 56, 51, 72, 57, 59, 51, 72, 53, 5
53, 56, 101, 97, 60, 63, 85, 73, 67, 71, 78, 58, 64, 73, 74, 54, 68, 69, 78, 54, 64, 66, 64, 54, 64, 71, 75, 59, 71, 71, 75, 52, 64, 68, 71, 52, 7
95, 109, 117, 89, 90, 113, 112, 92, 90, 109, 108, 89, 87, 99, 105, 83, 83, 95, 97, 79, 75, 84, 90, 68, 82, 88, 97, 73, 78, 84, 89, 69, 67, 71, 74, 55, 7
96, 117, 119, 94, 96, 117, 119, 94, 96, 117, 119, 94, 101, 120, 119, 94, 97, 120, 124, 97, 97, 115, 119, 94, 101, 120, 120, 98, 101, 120, 120, 94, 101, 115, 120, 94, 3
71, 81, 82, 60, 67, 77, 75, 57, 67, 73, 75, 57, 70, 79, 85, 62, 70, 84, 82, 58, 67, 79, 82, 62, 68, 81, 82, 65, 68, 81, 82, 65, 72, 77, 82, 61, 7
88, 102, 111, 87, 88, 102, 102, 83, 84, 98, 102, 79, 84, 99, 104, 81, 84, 95, 100, 78, 80, 91, 96, 74, 84, 95, 100, 79, 79, 95, 93, 75, 79, 91, 96, 75, 4
76, 94, 98, 76, 76, 98, 98, 76, 76, 94, 98, 76, 80, 99, 104, 78, 76, 95, 96, 78, 71, 87, 96, 74, 79, 95, 100, 79, 75, 91, 96, 75, 75, 91, 93, 71, 4
68, 75, 75, 59, 68, 75, 79, 59, 68, 75, 79, 59, 67, 72, 81, 58, 71, 75, 77, 58, 71, 75, 74, 58, 70, 79, 80, 59, 70, 75, 73, 59, 70, 75, 76, 59, 7
64, 79, 79, 63, 68, 79, 83, 63, 68, 79, 79, 67, 67, 79, 85, 62, 71, 83, 85, 62, 71, 87, 85, 67, 63, 79, 84, 63, 66, 79, 84, 63, 66, 79, 84, 63, 7
64, 87, 100, 74, 68, 91, 100, 81, 71, 103, 118, 96, 67, 95, 100, 79, 75, 99, 109, 87, 79, 111, 123, 100, 63, 83, 96, 78, 66, 91, 104, 81, 74, 100, 108, 92, 1
66, 79, 80, 63, 70, 79, 80, 63, 66, 75, 80, 63, 71, 81, 90, 68, 75, 88, 93, 68, 75, 81, 86, 64, 74, 88, 97, 80, 82, 97, 105, 83, 78, 88, 93, 73, 7
78, 88, 97, 76, 85, 102, 105, 83, 85, 102, 101, 83, 76, 94, 94, 76, 80, 102, 102, 79, 84, 102, 102, 83, 76, 91, 96, 74, 76, 91, 96, 74, 76, 91, 87, 70, 4
57, 60, 93, 80, 57, 63, 89, 76, 60, 67, 78, 65, 57, 55, 86, 72, 57, 55, 82, 72, 57, 59, 74, 68, 56, 57, 87, 70, 56, 57, 83, 67, 56, 57, 83, 70, 5
63, 111, 124, 97, 63, 120, 124, 101, 63, 115, 124, 101, 64, 115, 125, 98, 64, 115, 125, 102, 64, 115, 125, 98, 64, 116, 128, 103, 64, 112, 128, 103, 64, 116, 122, 99, 1
67, 79, 81, 62, 75, 87, 89, 71, 79, 91, 93, 75, 66, 79, 84, 63, 66, 79, 80, 59, 74, 79, 84, 66, 71, 84, 86, 64, 67, 81, 82, 64, 67, 77, 82, 64, 7
63, 66, 75, 60, 67, 70, 72, 60, 67, 70, 75, 57, 63, 71, 74, 58, 63, 67, 70, 58, 60, 67, 70, 55, 60, 69, 74, 54, 60, 69, 71, 57, 60, 62, 67, 57, 7
74, 84, 85, 65, 74, 88, 93, 69, 78, 92, 93, 73, 76, 85, 90, 68, 76, 85, 90, 68, 76, 94, 94, 72, 71, 87, 91, 70, 76, 83, 91, 67, 80, 87, 91, 70, 4
