@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
95, 113, 117, 92, 95, 118, 117, 96, 95, 118, 122, 96, 96, 117, 130, 94, 92, 112, 124, 94, 92, 112, 114, 98, 93, 115, 114, 90, 93, 106, 114, 90, 89, 102, 110, 83, 3
46, 29, 127, 133, 46, 29, 122, 125, 46, 32, 112, 118, 42, 32, 130, 139, 42, 32, 119, 127, 42, 34, 110, 120, 44, 31, 124, 136, 44, 31, 124, 133, 44, 31, 114, 122, 2
74, 79, 100, 81, 86, 100, 108, 85, 90, 109, 108, 89, 67, 70, 101, 83, 79, 95, 97, 75, 92, 108, 110, 90, 78, 92, 97, 76, 82, 102, 105, 76, 85, 102, 110, 83, 3
83, 99, 101, 83, 79, 95, 101, 75, 79, 84, 86, 68, 78, 88, 93, 73, 78, 84, 85, 65, 70, 79, 82, 65, 72, 77, 78, 65, 72, 81, 78, 65, 72, 81, 90, 65, 7
44, 37, 105, 111, 47, 40, 110, 111, 47, 40, 110, 111, 50, 40, 106, 105, 53, 43, 106, 102, 60, 55, 102, 91, 64, 61, 96, 81, 68, 71, 91, 70, 71, 75, 87, 63, 2
46, 34, 118, 121, 50, 36, 118, 121, 50, 36, 118, 121, 48, 37, 118, 121, 48, 34, 118, 121, 48, 34, 118, 125, 46, 32, 117, 125, 46, 32, 117, 122, 46, 32, 122, 122, 2
46, 34, 112, 122, 49, 34, 122, 125, 49, 34, 117, 125, 46, 40, 105, 109, 49, 40, 105, 113, 46, 37, 114, 120, 47, 46, 105, 104, 53, 49, 101, 101, 50, 53, 101, 101, 2
49, 34, 122, 129, 56, 49, 108, 100, 63, 56, 88, 74, 59, 60, 97, 83, 63, 66, 79, 64, 67, 70, 75, 57, 67, 67, 67, 51, 60, 67, 70, 55, 63, 63, 67, 51, 7
42, 30, 124, 146, 42, 30, 124, 135, 42, 30, 119, 127, 44, 31, 124, 140, 44, 29, 119, 133, 44, 34, 110, 115, 44, 37, 115, 120, 47, 37, 106, 113, 47, 37, 106, 109, 2
85, 97, 105, 80, 82, 92, 101, 80, 82, 92, 101, 76, 88, 98, 102, 79, 84, 98, 102, 79, 84, 102, 102, 79, 92, 107, 118, 85, 92, 112, 118, 92, 92, 112, 118, 88, 3
68, 69, 71, 57, 68, 73, 71, 57, 68, 73, 74, 57, 64, 75, 75, 56, 68, 71, 71, 56, 64, 75, 71, 56, 67, 68, 74, 54, 67, 72, 70, 54, 67, 68, 74, 54, 7
72, 77, 78, 57, 68, 73, 78, 57, 68, 73, 74, 61, 68, 75, 71, 56, 68, 71, 75, 56, 68, 75, 75, 59, 71, 72, 74, 58, 67, 75, 77, 58, 71, 75, 77, 67, 7
92, 107, 113, 88, 92, 107, 118, 92, 97, 112, 122, 88, 93, 111, 109, 87, 97, 111, 109, 87, 97, 111, 113, 87, 99, 113, 122, 96, 95, 109, 117, 89, 95, 109, 117, 89, 3
64, 71, 75, 56, 64, 71, 75, 59, 71, 71, 75, 52, 63, 72, 74, 58, 67, 72, 77, 58, 67, 72, 77, 54, 63, 71, 76, 55, 63, 71, 76, 59, 63, 75, 76, 59, 7
64, 71, 87, 74, 64, 71, 87, 78, 68, 71, 87, 74, 67, 68, 89, 79, 67, 68, 89, 75, 67, 72, 85, 71, 70, 67, 88, 78, 66, 71, 88, 78, 66, 71, 92, 74, 5
75, 77, 86, 68, 71, 73, 79, 60, 67, 66, 75, 60, 67, 79, 85, 65, 67, 75, 78, 62, 67, 75, 78, 65, 72, 89, 94, 79, 72, 85, 90, 76, 72, 81, 86, 72, 4
78, 84, 89, 69, 67, 71, 74, 55, 67, 67, 70, 48, 72, 85, 82, 68, 64, 69, 71, 54, 64, 66, 71, 54, 76, 79, 87, 63, 68, 68, 75, 52, 64, 68, 67, 56, 7
82, 92, 97, 80, 74, 84, 89, 73, 70, 84, 97, 80, 80, 94, 98, 76, 76, 85, 90, 76, 72, 81, 90, 76, 80, 91, 100, 78, 80, 91, 100, 78, 80, 91, 96, 78, 7
84, 107, 113, 85, 88, 103, 108, 85, 84, 99, 104, 78, 84, 107, 113, 87, 88, 107, 109, 87, 84, 99, 100, 79, 90, 109, 112, 89, 82, 100, 100, 81, 78, 91, 96, 70, 4
76, 91, 96, 74, 76, 91, 96, 74, 76, 91, 100, 74, 71, 87, 89, 71, 75, 83, 89, 71, 75, 87, 93, 71, 70, 87, 88, 70, 66, 83, 88, 70, 70, 83, 92, 70, 7
79, 95, 100, 79, 84, 103, 109, 79, 88, 107, 109, 83, 86, 104, 104, 81, 86, 100, 108, 85, 86, 104, 108, 89, 87, 103, 105, 83, 87, 103, 105, 83, 83, 103, 114, 86, 4
67, 72, 74, 54, 67, 75, 70, 54, 67, 75, 74, 58, 66, 75, 80, 59, 66, 79, 76, 59, 66, 79, 80, 63, 67, 81, 82, 60, 67, 77, 86, 60, 67, 73, 82, 60, 7
90, 109, 112, 89, 90, 104, 108, 85, 86, 109, 104, 81, 92, 112, 119, 90, 92, 108, 110, 94, 92, 108, 110, 90, 93, 120, 124, 97, 93, 120, 119, 97, 89, 115, 114, 87, 4
90, 113, 122, 92, 90, 109, 112, 89, 82, 100, 100, 81, 92, 112, 114, 90, 87, 103, 105, 83, 79, 88, 93, 72, 89, 106, 110, 83, 82, 97, 101, 80, 78, 88, 97, 73, 4
74, 83, 88, 66, 74, 83, 88, 66, 66, 75, 76, 55, 71, 77, 86, 68, 71, 81, 82, 60, 67, 77, 75, 57, 70, 79, 82, 62, 70, 79, 85, 62, 70, 84, 82, 58, 7
66, 75, 76, 55, 66, 75, 80, 59, 66, 75, 80, 59, 67, 73, 79, 57, 67, 73, 79, 60, 71, 77, 79, 60, 70, 79, 82, 58, 63, 79, 78, 58, 67, 75, 78, 62, 7
67, 79, 78, 62, 67, 79, 82, 62, 63, 71, 78, 62, 68, 73, 78, 61, 68, 77, 78, 61, 64, 77, 74, 57, 68, 75, 79, 59, 68, 75, 79, 59, 60, 75, 79, 59, 7
63, 67, 74, 62, 63, 75, 74, 62, 63, 71, 74, 58, 68, 69, 74, 57, 64, 73, 74, 57, 64, 73, 74, 57, 68, 71, 75, 59, 68, 75, 75, 59, 64, 75, 79, 59, 7
68, 73, 74, 54, 64, 69, 74, 57, 68, 69, 74, 57, 68, 79, 79, 59, 68, 75, 75, 56, 68, 71, 75, 59, 67, 75, 85, 62, 67, 75, 81, 58, 67, 72, 77, 58, 7
64, 77, 82, 65, 64, 77, 82, 65, 60, 77, 82, 65, 64, 75, 79, 63, 64, 75, 83, 67, 68, 79, 83, 67, 71, 83, 85, 67, 67, 87, 81, 71, 67, 87, 93, 75, 7
78, 91, 96, 74, 66, 79, 84, 66, 66, 79, 80, 63, 79, 91, 93, 72, 71, 81, 82, 64, 71, 81, 90, 68, 82, 88, 101, 76, 67, 71, 93, 65, 74, 88, 97, 80, 7
67, 73, 82, 64, 67, 77, 82, 60, 71, 73, 82, 64, 74, 88, 101, 80, 70, 88, 93, 69, 67, 75, 85, 62, 76, 98, 102, 79, 76, 89, 94, 72, 72, 81, 86, 65, 7
70, 88, 85, 65, 67, 75, 78, 62, 63, 71, 74, 62, 64, 73, 78, 61, 64, 73, 78, 61, 68, 73, 78, 57, 71, 75, 79, 59, 68, 75, 75, 59, 68, 75, 75, 59, 7
68, 69, 86, 68, 76, 89, 98, 79, 80, 94, 102, 76, 76, 83, 91, 74, 80, 95, 100, 78, 76, 87, 91, 67, 71, 91, 93, 75, 75, 91, 89, 71, 75, 83, 81, 62, 7
64, 68, 83, 67, 60, 61, 83, 70, 56, 57, 79, 70, 71, 72, 77, 58, 59, 54, 67, 54, 55, 51, 67, 50, 78, 91, 92, 74, 66, 67, 66, 41, 52, 49, 56, 33, 5
66, 79, 88, 63, 66, 79, 84, 63, 66, 79, 80, 59, 67, 84, 86, 68, 71, 84, 86, 64, 67, 81, 82, 64, 63, 79, 85, 65, 63, 75, 85, 65, 70, 84, 82, 65, 7
63, 112, 130, 101, 71, 112, 130, 101, 71, 112, 124, 101, 63, 111, 124, 101, 67, 115, 129, 101, 67, 120, 124, 97, 64, 111, 120, 98, 64, 111, 125, 102, 72, 115, 120, 102, 1
79, 91, 93, 71, 79, 91, 96, 71, 75, 91, 93, 71, 74, 87, 88, 74, 78, 87, 96, 70, 78, 91, 88, 70, 75, 88, 90, 72, 79, 88, 93, 68, 79, 95, 93, 72, 4
51, 54, 70, 62, 55, 51, 77, 67, 55, 54, 81, 71, 52, 53, 73, 63, 52, 56, 73, 66, 56, 56, 84, 78, 59, 60, 93, 79, 63, 70, 97, 83, 67, 77, 97, 83, 5
52, 60, 73, 59, 56, 56, 69, 55, 56, 56, 69, 59, 56, 57, 75, 57, 56, 54, 72, 57, 59, 54, 79, 60, 60, 63, 82, 69, 60, 56, 78, 69, 60, 60, 93, 80, 5
52, 56, 73, 59, 52, 53, 69, 59, 56, 53, 76, 59, 56, 54, 79, 64, 59, 57, 82, 68, 59, 60, 86, 75, 63, 63, 97, 90, 67, 75, 101, 87, 70, 84, 101, 87, 5
70, 75, 73, 59, 63, 67, 66, 55, 63, 67, 66, 55, 67, 73, 82, 64, 67, 70, 72, 57, 59, 66, 65, 60, 63, 71, 82, 65, 67, 75, 82, 69, 60, 71, 74, 58, 7
75, 91, 97, 72, 79, 88, 97, 72, 79, 88, 93, 72, 78, 88, 97, 69, 78, 92, 97, 73, 78, 92, 93, 73, 76, 89, 94, 72, 80, 94, 94, 72, 80, 94, 94, 76, 4
75, 88, 90, 72, 79, 88, 93, 68, 79, 95, 93, 72, 74, 88, 93, 73, 74, 84, 97, 69, 82, 84, 89, 73, 80, 89, 94, 72, 76, 85, 86, 68, 76, 85, 90, 68, 4
63, 112, 114, 98, 63, 108, 119, 98, 63, 112, 119, 94, 67, 106, 114, 94, 67, 111, 124, 94, 63, 106, 114, 94, 64, 106, 115, 94, 64, 106, 115, 98, 64, 106, 120, 94, 1
78, 92, 93, 73, 82, 88, 97, 69, 74, 88, 93, 73, 80, 94, 94, 76, 80, 94, 94, 72, 80, 89, 94, 72, 76, 95, 91, 74, 80, 91, 96, 70, 76, 91, 91, 70, 4
68, 81, 78, 68, 72, 81, 90, 76, 68, 77, 86, 68, 64, 71, 79, 63, 71, 79, 87, 70, 71, 75, 87, 70, 67, 68, 74, 54, 67, 72, 77, 62, 71, 75, 81, 71, 7
71, 81, 82, 64, 67, 73, 75, 57, 63, 73, 75, 57, 70, 79, 82, 65, 67, 75, 78, 65, 60, 71, 70, 58, 68, 77, 90, 68, 72, 77, 86, 65, 68, 73, 78, 61, 7
93, 120, 129, 101, 93, 115, 124, 101, 89, 106, 114, 94, 84, 115, 115, 98, 88, 115, 120, 102, 80, 111, 115, 94, 84, 112, 122, 99, 84, 116, 122, 99, 76, 112, 118, 92, 3
60, 97, 110, 90, 60, 102, 114, 90, 57, 92, 110, 87, 53, 85, 102, 83, 57, 89, 106, 83, 57, 81, 94, 79, 53, 83, 100, 85, 50, 75, 91, 74, 53, 75, 79, 74, 1
70, 111, 119, 97, 67, 111, 119, 94, 67, 106, 114, 97, 68, 111, 120, 98, 68, 111, 120, 94, 68, 111, 120, 94, 71, 112, 122, 96, 71, 112, 122, 96, 68, 112, 122, 99, 1
53, 89, 106, 87, 53, 89, 106, 83, 53, 81, 102, 83, 53, 87, 104, 88, 53, 95, 108, 85, 53, 83, 100, 81, 55, 83, 104, 83, 51, 83, 100, 83, 51, 79, 96, 79, 1
68, 111, 115, 94, 68, 111, 115, 94, 68, 111, 120, 98, 76, 112, 122, 99, 71, 112, 122, 96, 71, 112, 122, 96, 71, 111, 123, 96, 71, 111, 123, 100, 71, 111, 118, 100, 1
56, 87, 104, 85, 56, 83, 100, 81, 49, 75, 100, 78, 49, 73, 97, 79, 49, 73, 86, 79, 52, 70, 90, 75, 47, 67, 89, 73, 47, 71, 85, 73, 50, 67, 85, 76, 1
83, 99, 101, 83, 87, 99, 105, 83, 87, 99, 110, 86, 89, 106, 110, 87, 85, 106, 110, 87, 89, 102, 105, 87, 88, 106, 115, 87, 88, 106, 106, 87, 88, 106, 106, 87, 3
56, 81, 97, 79, 52, 73, 93, 79, 52, 66, 86, 72, 57, 84, 93, 76, 57, 75, 82, 73, 53, 71, 78, 73, 60, 94, 106, 87, 60, 81, 94, 76, 57, 73, 90, 76, 1
63, 95, 101, 86, 63, 103, 114, 94, 67, 103, 124, 94, 57, 106, 110, 90, 63, 111, 119, 97, 67, 111, 119, 94, 60, 102, 111, 94, 60, 106, 115, 94, 64, 106, 115, 94, 1
76, 89, 102, 87, 84, 106, 111, 94, 76, 102, 111, 91, 76, 95, 113, 88, 80, 107, 118, 96, 71, 99, 108, 88, 84, 107, 118, 96, 79, 111, 118, 96, 67, 99, 113, 92, 3
67, 95, 100, 87, 67, 95, 104, 87, 67, 95, 109, 87, 66, 100, 112, 89, 63, 100, 112, 92, 63, 100, 117, 92, 63, 103, 119, 90, 67, 99, 114, 94, 63, 99, 114, 94, 1
86, 100, 108, 89, 78, 100, 112, 92, 78, 104, 122, 96, 79, 99, 105, 86, 75, 99, 110, 90, 67, 99, 114, 90, 74, 97, 105, 94, 67, 97, 110, 94, 57, 97, 110, 94, 1
59, 87, 100, 81, 66, 91, 112, 89, 70, 96, 112, 92, 49, 51, 101, 101, 56, 73, 97, 79, 63, 88, 105, 83, 44, 29, 114, 133, 47, 37, 114, 122, 50, 63, 97, 90, 5
67, 99, 110, 94, 63, 95, 110, 90, 63, 95, 105, 90, 60, 88, 101, 83, 60, 75, 93, 83, 63, 79, 97, 83, 60, 77, 90, 79, 64, 81, 90, 83, 64, 85, 94, 83, 1
59, 99, 114, 90, 59, 95, 110, 86, 56, 84, 101, 83, 63, 102, 114, 90, 63, 106, 114, 90, 60, 92, 105, 87, 64, 98, 115, 91, 68, 106, 115, 94, 64, 98, 111, 91, 1
63, 95, 105, 90, 67, 99, 110, 94, 63, 103, 119, 94, 63, 92, 105, 87, 63, 97, 114, 90, 67, 102, 119, 97, 60, 85, 102, 87, 64, 98, 111, 91, 68, 106, 111, 98, 1
84, 102, 111, 87, 88, 106, 102, 91, 84, 98, 102, 87, 88, 103, 108, 88, 88, 99, 113, 92, 76, 95, 104, 88, 88, 103, 109, 92, 79, 95, 100, 87, 67, 95, 109, 92, 3
50, 73, 90, 76, 50, 77, 98, 79, 53, 77, 94, 79, 50, 75, 91, 81, 50, 75, 96, 78, 56, 75, 91, 74, 51, 75, 93, 75, 51, 75, 89, 75, 55, 72, 89, 71, 1
53, 55, 98, 91, 57, 73, 86, 72, 64, 85, 98, 79, 56, 64, 91, 85, 60, 64, 91, 81, 60, 75, 96, 78, 59, 61, 89, 79, 59, 61, 85, 75, 59, 75, 89, 79, 5
50, 71, 87, 70, 50, 71, 87, 74, 50, 75, 91, 74, 51, 72, 85, 75, 51, 72, 85, 75, 48, 72, 89, 75, 46, 67, 84, 74, 49, 71, 92, 74, 49, 71, 84, 78, 1
48, 72, 89, 75, 51, 83, 93, 75, 55, 79, 96, 79, 49, 71, 84, 78, 49, 71, 88, 74, 52, 79, 96, 78, 49, 73, 90, 75, 49, 70, 86, 72, 52, 70, 82, 75, 1
90, 100, 108, 85, 86, 104, 104, 81, 86, 100, 108, 85, 92, 103, 110, 86, 87, 103, 110, 83, 87, 99, 105, 86, 85, 97, 110, 83, 85, 102, 105, 80, 85, 102, 105, 83, 3
79, 95, 101, 79, 83, 95, 101, 79, 83, 95, 105, 83, 85, 97, 97, 80, 85, 106, 105, 80, 93, 111, 114, 90, 88, 106, 106, 87, 92, 115, 115, 94, 92, 120, 125, 98, 3
63, 95, 110, 86, 63, 84, 101, 83, 59, 73, 93, 75, 63, 84, 97, 83, 63, 84, 93, 80, 63, 79, 89, 83, 60, 73, 90, 79, 60, 81, 94, 79, 64, 81, 98, 83, 1
67, 84, 97, 83, 59, 77, 90, 75, 59, 73, 97, 79, 63, 79, 85, 80, 60, 75, 89, 80, 60, 84, 97, 80, 68, 89, 106, 87, 68, 98, 111, 91, 64, 98, 106, 91, 1
71, 103, 114, 98, 75, 112, 119, 98, 75, 108, 114, 94, 70, 106, 119, 94, 74, 111, 114, 97, 70, 111, 124, 97, 68, 102, 115, 94, 72, 106, 115, 94, 72, 106, 115, 91, 1
84, 102, 106, 91, 88, 106, 111, 91, 88, 106, 111, 98, 84, 99, 113, 88, 84, 99, 108, 92, 84, 107, 113, 96, 84, 99, 109, 92, 88, 103, 113, 96, 88, 103, 118, 100, 3
53, 81, 98, 79, 53, 77, 94, 76, 53, 73, 98, 76, 53, 83, 96, 78, 53, 75, 96, 78, 53, 71, 87, 74, 51, 72, 89, 75, 48, 79, 93, 79, 55, 79, 93, 79, 1
92, 116, 133, 103, 84, 112, 122, 96, 71, 83, 96, 85, 84, 111, 128, 100, 84, 103, 118, 92, 71, 79, 96, 79, 74, 83, 104, 92, 78, 96, 112, 96, 82, 91, 100, 89, 1
64, 71, 108, 96, 68, 75, 108, 96, 71, 87, 108, 88, 67, 87, 113, 96, 67, 95, 109, 92, 75, 99, 104, 83, 66, 83, 108, 96, 66, 87, 104, 89, 63, 87, 104, 89, 5
80, 102, 102, 79, 76, 102, 102, 79, 76, 102, 106, 83, 76, 99, 108, 85, 76, 103, 118, 88, 80, 107, 118, 88, 79, 107, 109, 87, 79, 107, 109, 87, 79, 107, 113, 87, 3
56, 54, 104, 92, 53, 45, 113, 114, 46, 34, 133, 146, 48, 37, 118, 121, 51, 45, 113, 104, 44, 37, 128, 137, 46, 29, 127, 136, 46, 32, 122, 136, 52, 40, 112, 114, 2
84, 99, 104, 81, 80, 95, 91, 74, 76, 87, 96, 70, 79, 91, 93, 71, 71, 79, 77, 62, 75, 83, 85, 67, 70, 79, 80, 66, 66, 75, 80, 66, 66, 71, 80, 63, 7
48, 32, 128, 129, 48, 37, 123, 125, 59, 58, 104, 92, 46, 34, 122, 129, 46, 34, 122, 125, 49, 37, 117, 125, 46, 37, 130, 127, 46, 34, 124, 124, 46, 37, 119, 127, 2
90, 109, 117, 85, 90, 109, 117, 92, 90, 113, 112, 96, 92, 117, 124, 98, 92, 117, 119, 94, 92, 108, 114, 94, 89, 111, 114, 94, 89, 111, 110, 90, 85, 97, 105, 80, 3
92, 99, 101, 83, 83, 95, 101, 79, 75, 91, 93, 72, 70, 84, 82, 65, 67, 79, 78, 62, 63, 71, 78, 58, 64, 69, 71, 57, 64, 66, 67, 54, 64, 62, 71, 50, 5
63, 66, 72, 57, 63, 70, 72, 60, 71, 77, 86, 64, 67, 67, 70, 55, 60, 63, 70, 58, 63, 67, 70, 58, 68, 69, 74, 57, 64, 66, 67, 54, 64, 66, 71, 57, 7
89, 106, 110, 90, 89, 111, 110, 87, 93, 106, 114, 87, 88, 106, 111, 87, 88, 102, 106, 87, 88, 102, 111, 83, 88, 107, 118, 88, 88, 107, 108, 88, 88, 103, 104, 85, 3
92, 111, 115, 91, 97, 111, 120, 91, 92, 111, 111, 87, 92, 112, 118, 92, 92, 112, 118, 92, 92, 107, 118, 88, 93, 111, 118, 96, 93, 111, 118, 92, 93, 111, 118, 92, 3
71, 77, 82, 68, 67, 77, 86, 68, 67, 77, 75, 64, 63, 67, 74, 58, 60, 67, 67, 55, 57, 63, 63, 51, 64, 69, 71, 57, 57, 55, 60, 46, 53, 55, 60, 42, 5
76, 85, 90, 76, 80, 89, 94, 76, 72, 81, 94, 76, 76, 87, 91, 78, 80, 91, 96, 78, 84, 91, 96, 74, 79, 95, 96, 79, 79, 99, 96, 79, 84, 99, 96, 79, 4
72, 77, 78, 65, 72, 81, 78, 65, 72, 81, 90, 65, 71, 75, 83, 67, 71, 79, 87, 70, 71, 83, 87, 70, 71, 79, 81, 67, 75, 79, 85, 67, 75, 87, 89, 71, 7
55, 51, 70, 54, 55, 45, 70, 54, 55, 51, 77, 67, 56, 49, 69, 52, 56, 46, 69, 52, 56, 49, 69, 55, 56, 51, 72, 57, 59, 51, 72, 53, 56, 48, 68, 53, 5
75, 84, 93, 75, 75, 84, 90, 72, 71, 81, 93, 75, 74, 84, 85, 73, 70, 84, 85, 69, 74, 84, 85, 73, 72, 81, 86, 72, 72, 81, 82, 68, 72, 77, 82, 68, 7
