@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
42.5,46,0.3,14.0,77,0.625,42,15.8,1850,49.5,34.6,8.0,0.0,1.5,0.8,34.0,40,100.0,100,band
45.0,44,0.3,15.5,75,1.25,20,14.1,1300,50.5,35.4,0.0,0.0,2.5,1.5,40.0,40,110.0,100,noband
50.0,55,0.233,13.86,70,0.625,47,10.2,1635,51.0,38.8,0.0,0.0,3.0,1.0,40.0,40,100.0,100,noband
30.0,63,0.3,13.0,94,1.0,29,0.0,1800,56.2,43.8,0.0,0.0,2.5,1.0,30.0,40,110.0,100,band
55.0,53,0.3,14.2,72,0.625,25,22.7,1750,45.5,31.8,1.0,0.0,2.4,0.9,34.0,40,103.125,100,band
55.0,56,0.233,15.0,84,0.625,25,16.7,1850,52.1,31.3,4.0,0.0,2.0,0.6,34.0,40,103.125,100,band
55.0,49,0.2,15.0,78,0.625,20,17.1,1900,47.6,35.2,0.0,0.0,2.5,0.85,34.0,40,106.45,100,band
52.0,64,0.4,15.5,82,0.625,30,0.0,1800,71.4,28.6,4.0,0.0,2.5,0.9,34.0,40,103.125,100,band
40.0,56,0.233,16.5,79,0.5,28,0.0,2300,60.2,39.8,0.0,0.0,2.5,1.5,30.0,40,106.45,100,band
47.5,68,0.4,16.0,80,0.75,30,0.0,2250,58.8,41.2,0.0,0.0,1.5,1.0,35.0,40,106.45,100,noband
50.0,69,0.367,17.0,82,0.75,50,0.0,1700,62.5,37.5,0.0,0.0,3.0,1.0,40.0,40,106.45,100,band
32.5,69,0.2,15.5,94,0.75,30,0.5,2050,52.6,42.1,0.0,0.0,2.5,1.0,33.0,40,100.0,100,noband
45.0,65,0.3,16.3,78,0.75,32,3.4,1700,56.8,39.8,4.0,0.0,2.5,1.0,34.0,40,106.45,100,band
42.5,58,0.4,15.0,76,1.0,20,5.4,2000,54.3,40.2,0.0,0.0,2.5,1.0,35.0,40,103.33,100,band
40.0,64,0.2,16.0,76,0.812,23,4.8,1835,59.5,35.7,3.0,0.0,2.0,0.7,30.0,40,106.45,100,noband
40.0,41,0.233,14.0,79,0.75,20,0.0,1530,61.7,38.3,5.0,0.0,3.1,1.8,33.0,33,96.9,100,noband
45.0,42,0.233,15.0,76,0.75,30,0.0,2220,58.8,41.2,0.0,0.0,2.5,1.0,30.0,35,100.0,100,noband
40.0,38,0.3,16.0,92,0.625,25,1.1,1900,53.8,45.2,0.0,0.0,2.5,1.0,30.0,33,100.0,100,noband
40.0,48,0.333,15.0,75,1.0,30,0.0,1720,61.7,38.3,0.0,0.0,2.5,3.0,33.0,33,103.2,100,noband
40.0,54,0.233,15.0,80,0.75,28,0.0,1800,58.8,41.2,0.0,0.0,2.5,1.2,30.0,33,100.0,100,noband
50.0,59,0.367,13.0,92,0.625,49,0.0,1300,58.8,41.2,0.0,0.0,3.0,1.1,40.0,35,100.0,100,band
55.0,55,0.3,13.0,86,0.75,28,13.7,1700,49.0,37.3,0.0,0.0,3.0,0.8,34.0,35,100.0,100,noband
62.5,47,0.167,17.0,75,0.75,30,14.3,1700,47.6,38.1,0.0,0.0,3.0,0.5,40.0,40,96.9,100,band
60.0,56,0.3,16.0,87,0.625,26,10.5,1450,50.5,39.0,3.0,0.0,3.0,1.3,40.0,40,93.75,100,band
45.0,61,0.4,14.0,78,0.75,20,25.6,2100,42.7,31.7,0.0,0.0,2.5,0.8,30.0,35,105.2,100,noband
32.5,54,0.267,15.5,78,1.0,25,0.0,1900,58.8,41.2,10.0,0.0,2.5,0.5,30.0,35,93.3,100,noband
40.0,54,0.2,15.0,72,0.75,35,0.0,2500,58.5,41.5,0.0,0.0,2.1,1.1,30.0,40,100.0,100,noband
35.0,55,0.233,15.0,70,0.5,35,0.0,2000,58.8,41.2,0.0,0.0,2.5,1.5,30.0,35,100.0,100,band
40.0,50,0.267,13.5,75,0.75,45,0.0,1700,58.8,41.2,0.0,0.0,3.0,0.6,40.0,35,100.0,100,noband
50.0,50,0.2,16.2,75,0.75,25,3.3,1850,54.9,41.8,2.0,0.0,2.7,0.9,40.0,35,100.0,100,noband
30.0,54,0.233,15.8,68,0.75,25,6.4,2000,53.2,40.4,4.0,0.0,2.3,0.8,35.0,35,106.9,100,noband
30.0,54,0.167,14.6,70,0.812,30,0.0,2000,58.8,41.2,0.0,0.0,1.5,0.6,30.0,35,106.9,100,noband
47.5,49,0.367,15.0,84,0.75,28,2.2,1600,54.3,43.5,0.0,0.0,3.0,0.9,34.0,30,108.1,100,band
45.0,55,0.3,16.1,82,0.75,30,0.0,2400,58.8,41.2,0.0,0.0,2.0,0.8,30.0,45,93.75,100,noband
60.0,50,0.267,14.9,88,0.375,32,10.3,1700,51.5,38.1,5.0,0.0,3.0,1.3,40.0,40,103.3,100,noband
40.0,49,0.267,14.0,82,0.625,30,0.0,2150,65.2,34.8,1.0,0.0,2.5,0.9,30.0,40,93.75,90,band
42.5,48,0.2,16.0,70,0.812,35,0.0,2050,66.7,33.3,2.0,0.0,1.7,1.0,30.0,40,93.55,90,noband
35.0,48,0.233,14.5,76,0.75,20,0.0,2225,62.5,37.5,4.0,0.0,2.7,1.2,33.0,40,106.25,90,noband
47.5,49,0.433,14.5,88,0.625,25,34.5,2000,43.5,22.0,0.0,0.0,2.5,0.7,40.0,40,96.97,90,noband
30.0,53,0.3,15.0,80,0.75,30,15.0,2290,50.0,35.0,0.0,0.0,2.5,1.0,33.0,40,110.7,100,noband
30.0,54,0.333,16.3,80,0.812,30,0.0,2100,60.0,40.0,3.0,0.0,2.5,1.2,30.0,40,114.29,100,noband
52.5,43,0.267,15.0,71,0.75,28,7.4,1500,53.2,39.4,0.0,0.0,2.5,1.0,34.0,40,98.3,100,band
35.0,42,0.3,15.9,78,0.375,32,0.0,2150,62.5,37.5,0.0,0.0,1.7,0.9,30.0,40,101.67,100,band
50.0,43,0.2,15.5,72,0.75,30,5.1,2200,50.6,44.3,0.0,0.0,2.5,1.3,35.0,40,96.77,100,noband
32.5,47,0.267,16.1,88,0.312,28,0.0,2189,62.5,37.5,0.0,0.0,2.4,0.8,30.0,40,100.0,100,noband
32.5,45,0.233,14.0,94,0.625,25,0.0,1800,66.7,33.3,0.0,0.0,2.1,1.0,30.0,40,100.0,100,band
45.0,42,0.2,14.0,75,1.0,20,11.2,1800,51.0,37.8,8.0,0.0,2.5,1.0,35.0,40,100.0,100,noband
45.0,42,0.333,14.0,75,1.0,20,0.0,1800,58.9,41.1,8.0,0.0,3.0,2.0,35.0,40,100.0,100,noband
45.0,41,0.2,14.6,74,1.0,32,21.0,2300,47.6,31.4,4.0,0.0,2.5,1.1,35.0,40,96.77,100,noband
45.0,42,0.267,14.0,89,0.75,26,0.0,1450,58.8,41.2,1.0,0.0,2.5,1.0,40.0,40,103.22,100,band
65.0,50,0.2,15.1,75,0.625,20,19.0,1800,47.6,33.4,0.0,0.0,2.7,0.6,34.0,40,110.71,100,noband
45.0,62,0.233,15.0,76,0.75,50,0.0,1500,58.8,41.2,0.0,0.0,3.0,1.2,38.0,40,103.225,100,band
47.5,65,0.2,14.0,80,0.5,27,11.5,1725,52.1,36.4,3.0,0.0,3.0,0.9,34.0,40,103.125,100,noband
40.0,58,0.2,15.5,84,0.375,25,9.0,2000,52.8,38.2,5.0,0.0,3.0,1.1,35.0,40,103.125,100,noband
40.0,62,0.2,13.7,91,0.375,32,5.6,2300,55.6,38.9,2.0,0.0,2.5,1.0,33.0,40,100.0,100,noband
40.0,62,0.3,16.1,82,0.812,30,5.7,1800,56.8,37.5,10.0,0.0,0.7,0.5,30.0,40,106.5,100,noband
40.0,62,0.233,16.1,78,0.562,25,5.5,1800,55.0,39.5,0.0,0.0,1.6,1.5,30.0,40,103.23,100,noband
40.0,47,0.2,14.5,85,0.75,25,10.5,1850,52.6,36.9,2.0,0.0,0.0,0.0,34.0,40,110.0,100,band
30.0,40,0.2,14.0,73,0.562,30,0.0,1800,58.8,41.2,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
40.0,39,0.2,15.0,83,0.625,30,0.0,2000,58.1,41.9,1.0,0.0,2.5,0.6,35.0,40,100.0,100,band
40.0,59,0.25,15.0,80,0.75,40,13.3,1750,51.0,35.7,0.0,0.0,2.2,0.7,34.0,40,100.0,100,band
