@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
117.0, 52.0, 110.0, 228.0, 65.0, 12.0, 212.0, 31.0, 24.0, 163.0, 228.0, 668.0, 220.0, 66.0, 21.0, 25.0, 194.0, 205.0, saab
91.0, 45.0, 76.0, 171.0, 69.0, 7.0, 150.0, 44.0, 19.0, 144.0, 170.0, 340.0, 179.0, 69.0, 12.0, 1.0, 195.0, 201.0, bus
100.0, 49.0, 96.0, 206.0, 63.0, 9.0, 186.0, 35.0, 22.0, 156.0, 202.0, 519.0, 176.0, 62.0, 3.0, 5.0, 197.0, 205.0, opel
108.0, 52.0, 109.0, 182.0, 55.0, 12.0, 216.0, 31.0, 24.0, 171.0, 229.0, 687.0, 214.0, 72.0, 10.0, 28.0, 189.0, 201.0, saab
89.0, 47.0, 85.0, 147.0, 58.0, 10.0, 153.0, 44.0, 19.0, 151.0, 175.0, 349.0, 186.0, 74.0, 13.0, 7.0, 186.0, 197.0, van
97.0, 47.0, 87.0, 164.0, 64.0, 9.0, 156.0, 43.0, 20.0, 149.0, 173.0, 359.0, 182.0, 68.0, 1.0, 13.0, 192.0, 202.0, van
87.0, 36.0, 53.0, 117.0, 58.0, 4.0, 118.0, 57.0, 17.0, 125.0, 138.0, 205.0, 138.0, 85.0, 9.0, 15.0, 180.0, 183.0, van
109.0, 52.0, 95.0, 189.0, 58.0, 4.0, 227.0, 29.0, 25.0, 158.0, 262.0, 776.0, 217.0, 82.0, 0.0, 19.0, 187.0, 186.0, bus
87.0, 37.0, 60.0, 132.0, 57.0, 6.0, 128.0, 52.0, 18.0, 129.0, 154.0, 243.0, 132.0, 71.0, 1.0, 14.0, 186.0, 192.0, saab
99.0, 43.0, 89.0, 195.0, 63.0, 8.0, 186.0, 35.0, 22.0, 144.0, 210.0, 521.0, 166.0, 68.0, 6.0, 13.0, 191.0, 199.0, saab
94.0, 47.0, 85.0, 333.0, 138.0, 49.0, 155.0, 43.0, 19.0, 155.0, 320.0, 354.0, 187.0, 135.0, 12.0, 9.0, 188.0, 196.0, van
89.0, 41.0, 75.0, 162.0, 66.0, 5.0, 153.0, 43.0, 19.0, 136.0, 175.0, 352.0, 154.0, 72.0, 2.0, 0.0, 188.0, 195.0, bus
107.0, 53.0, 108.0, 213.0, 64.0, 12.0, 206.0, 32.0, 23.0, 163.0, 216.0, 627.0, 202.0, 65.0, 21.0, 22.0, 194.0, 205.0, saab
85.0, 37.0, 80.0, 158.0, 59.0, 8.0, 153.0, 44.0, 19.0, 126.0, 179.0, 348.0, 136.0, 69.0, 6.0, 21.0, 191.0, 197.0, opel
96.0, 39.0, 58.0, 117.0, 51.0, 6.0, 133.0, 52.0, 18.0, 139.0, 154.0, 255.0, 150.0, 86.0, 6.0, 0.0, 181.0, 182.0, van
84.0, 38.0, 83.0, 141.0, 54.0, 7.0, 149.0, 45.0, 19.0, 132.0, 177.0, 327.0, 149.0, 74.0, 6.0, 29.0, 185.0, 191.0, saab
85.0, 37.0, 68.0, 145.0, 60.0, 6.0, 130.0, 51.0, 18.0, 130.0, 150.0, 253.0, 121.0, 65.0, 3.0, 14.0, 195.0, 203.0, van
84.0, 40.0, 71.0, 131.0, 55.0, 7.0, 150.0, 45.0, 19.0, 134.0, 167.0, 330.0, 165.0, 80.0, 12.0, 1.0, 180.0, 186.0, opel
99.0, 50.0, 88.0, 204.0, 64.0, 10.0, 185.0, 35.0, 22.0, 159.0, 209.0, 517.0, 193.0, 66.0, 12.0, 11.0, 194.0, 201.0, opel
101.0, 52.0, 101.0, 197.0, 62.0, 9.0, 188.0, 35.0, 22.0, 162.0, 208.0, 527.0, 203.0, 67.0, 14.0, 15.0, 193.0, 202.0, saab
98.0, 42.0, 90.0, 192.0, 61.0, 9.0, 178.0, 37.0, 21.0, 144.0, 189.0, 480.0, 138.0, 61.0, 3.0, 8.0, 199.0, 208.0, saab
97.0, 47.0, 81.0, 183.0, 64.0, 8.0, 168.0, 39.0, 20.0, 150.0, 193.0, 426.0, 182.0, 70.0, 11.0, 2.0, 192.0, 198.0, opel
96.0, 54.0, 104.0, 175.0, 58.0, 10.0, 215.0, 31.0, 24.0, 175.0, 221.0, 682.0, 222.0, 75.0, 13.0, 23.0, 186.0, 194.0, opel
105.0, 51.0, 108.0, 201.0, 62.0, 11.0, 220.0, 30.0, 25.0, 163.0, 232.0, 711.0, 202.0, 72.0, 12.0, 16.0, 189.0, 200.0, saab
82.0, 40.0, 73.0, 141.0, 57.0, 8.0, 153.0, 44.0, 19.0, 133.0, 173.0, 342.0, 153.0, 75.0, 11.0, 9.0, 181.0, 187.0, opel
97.0, 55.0, 104.0, 219.0, 71.0, 9.0, 211.0, 32.0, 24.0, 171.0, 222.0, 658.0, 223.0, 74.0, 1.0, 24.0, 186.0, 196.0, saab
89.0, 46.0, 78.0, 150.0, 63.0, 11.0, 160.0, 43.0, 20.0, 160.0, 170.0, 367.0, 176.0, 73.0, 5.0, 9.0, 185.0, 194.0, van
104.0, 54.0, 91.0, 209.0, 67.0, 11.0, 218.0, 31.0, 24.0, 170.0, 223.0, 697.0, 196.0, 74.0, 4.0, 21.0, 187.0, 196.0, opel
86.0, 38.0, 76.0, 143.0, 59.0, 8.0, 142.0, 47.0, 18.0, 131.0, 167.0, 301.0, 138.0, 71.0, 5.0, 10.0, 189.0, 196.0, van
93.0, 45.0, 81.0, 177.0, 64.0, 7.0, 160.0, 41.0, 20.0, 147.0, 180.0, 383.0, 188.0, 70.0, 11.0, 11.0, 192.0, 199.0, saab
102.0, 54.0, 98.0, 177.0, 56.0, 10.0, 219.0, 31.0, 25.0, 171.0, 219.0, 706.0, 223.0, 72.0, 5.0, 17.0, 186.0, 196.0, opel
88.0, 36.0, 53.0, 113.0, 57.0, 3.0, 118.0, 57.0, 17.0, 128.0, 137.0, 204.0, 136.0, 88.0, 7.0, 14.0, 180.0, 183.0, van
102.0, 54.0, 98.0, 167.0, 53.0, 10.0, 217.0, 31.0, 24.0, 174.0, 228.0, 692.0, 223.0, 72.0, 0.0, 31.0, 187.0, 198.0, opel
101.0, 56.0, 100.0, 204.0, 62.0, 12.0, 227.0, 30.0, 25.0, 178.0, 231.0, 757.0, 204.0, 73.0, 0.0, 11.0, 186.0, 197.0, opel
115.0, 53.0, 100.0, 205.0, 64.0, 11.0, 220.0, 30.0, 25.0, 166.0, 229.0, 710.0, 214.0, 71.0, 21.0, 11.0, 189.0, 199.0, saab
86.0, 43.0, 70.0, 126.0, 56.0, 6.0, 148.0, 46.0, 19.0, 145.0, 166.0, 317.0, 171.0, 86.0, 6.0, 9.0, 179.0, 182.0, bus
92.0, 42.0, 75.0, 172.0, 60.0, 8.0, 147.0, 45.0, 19.0, 142.0, 174.0, 322.0, 160.0, 62.0, 22.0, 10.0, 206.0, 211.0, opel
85.0, 40.0, 75.0, 137.0, 56.0, 7.0, 152.0, 44.0, 19.0, 134.0, 173.0, 339.0, 160.0, 76.0, 7.0, 16.0, 182.0, 187.0, saab
97.0, 44.0, 95.0, 202.0, 66.0, 9.0, 188.0, 35.0, 22.0, 144.0, 216.0, 526.0, 175.0, 72.0, 15.0, 11.0, 190.0, 197.0, saab
95.0, 47.0, 73.0, 195.0, 70.0, 7.0, 167.0, 38.0, 20.0, 152.0, 184.0, 430.0, 185.0, 69.0, 9.0, 19.0, 200.0, 206.0, bus
102.0, 55.0, 101.0, 213.0, 67.0, 12.0, 222.0, 30.0, 25.0, 177.0, 226.0, 719.0, 213.0, 71.0, 2.0, 21.0, 187.0, 199.0, saab
109.0, 55.0, 96.0, 191.0, 57.0, 6.0, 241.0, 28.0, 26.0, 170.0, 267.0, 857.0, 242.0, 85.0, 8.0, 9.0, 184.0, 184.0, bus
96.0, 37.0, 74.0, 187.0, 68.0, 8.0, 159.0, 42.0, 20.0, 134.0, 183.0, 378.0, 134.0, 69.0, 3.0, 16.0, 190.0, 197.0, saab
92.0, 40.0, 66.0, 111.0, 48.0, 7.0, 139.0, 50.0, 19.0, 140.0, 159.0, 277.0, 148.0, 85.0, 12.0, 19.0, 182.0, 183.0, van
94.0, 39.0, 75.0, 184.0, 72.0, 8.0, 155.0, 42.0, 19.0, 133.0, 175.0, 365.0, 145.0, 70.0, 4.0, 5.0, 192.0, 200.0, bus
90.0, 39.0, 89.0, 181.0, 62.0, 8.0, 175.0, 38.0, 21.0, 132.0, 200.0, 458.0, 154.0, 70.0, 11.0, 15.0, 189.0, 195.0, saab
113.0, 48.0, 98.0, 208.0, 62.0, 9.0, 203.0, 33.0, 23.0, 151.0, 216.0, 613.0, 183.0, 64.0, 17.0, 29.0, 193.0, 204.0, saab
89.0, 47.0, 80.0, 131.0, 54.0, 11.0, 160.0, 43.0, 20.0, 163.0, 175.0, 369.0, 174.0, 77.0, 1.0, 7.0, 182.0, 193.0, van
104.0, 54.0, 101.0, 197.0, 64.0, 11.0, 213.0, 31.0, 24.0, 172.0, 218.0, 669.0, 222.0, 74.0, 14.0, 4.0, 187.0, 196.0, saab
98.0, 55.0, 108.0, 168.0, 53.0, 11.0, 224.0, 30.0, 25.0, 178.0, 231.0, 737.0, 217.0, 73.0, 8.0, 30.0, 187.0, 198.0, opel
84.0, 38.0, 74.0, 138.0, 57.0, 8.0, 139.0, 49.0, 18.0, 127.0, 160.0, 282.0, 127.0, 72.0, 9.0, 20.0, 183.0, 191.0, opel
80.0, 36.0, 69.0, 127.0, 56.0, 7.0, 128.0, 53.0, 18.0, 124.0, 147.0, 240.0, 133.0, 70.0, 2.0, 21.0, 183.0, 191.0, opel
89.0, 43.0, 77.0, 147.0, 54.0, 8.0, 144.0, 46.0, 19.0, 146.0, 163.0, 308.0, 174.0, 64.0, 13.0, 5.0, 194.0, 201.0, saab
98.0, 46.0, 77.0, 199.0, 71.0, 7.0, 166.0, 39.0, 20.0, 150.0, 184.0, 422.0, 180.0, 69.0, 13.0, 9.0, 200.0, 203.0, bus
86.0, 39.0, 62.0, 129.0, 59.0, 6.0, 116.0, 57.0, 17.0, 135.0, 137.0, 203.0, 145.0, 64.0, 7.0, 9.0, 199.0, 204.0, van
87.0, 42.0, 60.0, 116.0, 51.0, 6.0, 150.0, 46.0, 19.0, 141.0, 169.0, 324.0, 171.0, 85.0, 2.0, 14.0, 178.0, 182.0, bus
80.0, 34.0, 42.0, 110.0, 57.0, 3.0, 114.0, 59.0, 17.0, 119.0, 131.0, 191.0, 121.0, 87.0, 4.0, 7.0, 179.0, 183.0, opel
92.0, 37.0, 75.0, 191.0, 71.0, 6.0, 161.0, 40.0, 20.0, 128.0, 180.0, 393.0, 135.0, 69.0, 1.0, 14.0, 195.0, 202.0, bus
85.0, 33.0, 50.0, 104.0, 53.0, 4.0, 115.0, 59.0, 17.0, 118.0, 136.0, 193.0, 127.0, 83.0, 1.0, 30.0, 179.0, 185.0, saab
83.0, 37.0, 49.0, 112.0, 55.0, 5.0, 122.0, 55.0, 17.0, 128.0, 144.0, 219.0, 146.0, 85.0, 8.0, 16.0, 180.0, 184.0, van
90.0, 48.0, 81.0, 144.0, 60.0, 9.0, 150.0, 44.0, 19.0, 156.0, 173.0, 333.0, 200.0, 75.0, 2.0, 0.0, 185.0, 195.0, van
90.0, 42.0, 63.0, 144.0, 59.0, 7.0, 131.0, 50.0, 18.0, 142.0, 154.0, 259.0, 162.0, 65.0, 15.0, 3.0, 197.0, 204.0, van
81.0, 38.0, 53.0, 123.0, 58.0, 6.0, 134.0, 51.0, 18.0, 128.0, 147.0, 259.0, 148.0, 83.0, 10.0, 6.0, 177.0, 184.0, opel
86.0, 44.0, 65.0, 129.0, 56.0, 6.0, 152.0, 45.0, 19.0, 150.0, 168.0, 331.0, 177.0, 83.0, 4.0, 13.0, 178.0, 183.0, bus
87.0, 41.0, 66.0, 140.0, 58.0, 6.0, 148.0, 46.0, 19.0, 136.0, 164.0, 318.0, 178.0, 79.0, 19.0, 2.0, 181.0, 185.0, saab
90.0, 43.0, 72.0, 157.0, 64.0, 8.0, 136.0, 49.0, 18.0, 145.0, 158.0, 279.0, 167.0, 64.0, 4.0, 6.0, 201.0, 209.0, van
102.0, 43.0, 96.0, 197.0, 63.0, 10.0, 185.0, 36.0, 22.0, 142.0, 202.0, 513.0, 139.0, 65.0, 8.0, 12.0, 195.0, 204.0, opel
91.0, 35.0, 66.0, 159.0, 59.0, 7.0, 147.0, 45.0, 19.0, 131.0, 169.0, 322.0, 123.0, 64.0, 1.0, 1.0, 197.0, 203.0, opel
82.0, 43.0, 73.0, 158.0, 68.0, 7.0, 151.0, 44.0, 19.0, 145.0, 181.0, 337.0, 173.0, 80.0, 2.0, 17.0, 183.0, 188.0, bus
89.0, 41.0, 76.0, 183.0, 73.0, 7.0, 157.0, 42.0, 19.0, 136.0, 181.0, 373.0, 153.0, 74.0, 8.0, 12.0, 191.0, 195.0, bus
85.0, 42.0, 66.0, 120.0, 53.0, 7.0, 149.0, 46.0, 19.0, 143.0, 169.0, 321.0, 160.0, 85.0, 10.0, 7.0, 180.0, 182.0, bus
89.0, 35.0, 52.0, 121.0, 57.0, 4.0, 122.0, 55.0, 17.0, 125.0, 139.0, 220.0, 128.0, 82.0, 5.0, 13.0, 181.0, 184.0, saab
