@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, b
1, 0.957, 0.081, 0.975, -0.057, 0.972, -0.085, 0.961, -0.066, 0.947, 0.013, 0.954, -0.168, 0.946, -0.195, 0.996, -0.323, 0.903, -0.359, 0.914, -0.273, 0.901, -0.298, 0.999, -0.407, 0.872, -0.346, 0.921, -0.306, 0.84, -0.391, 0.822, -0.412, g
1, 0.017, -0.356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.123, -0.55, 0.228, 0.828, 1.0, -0.423, 0.0, 0.0, 0.083, -1.0, -0.106, -0.167, 1.0, -0.767, -1.0, 0.189, 0.0, 0.0, 1.0, -0.273, b
1, 1.0, -0.415, 1.0, 0.761, 0.871, 0.186, 1.0, -0.099, 0.938, 0.48, 0.655, -0.161, 1.0, 0.0090, 0.976, -0.501, 0.8, -0.245, 0.881, -0.191, 1.0, -0.123, 0.936, 0.107, 0.929, -0.072, 1.0, -0.274, 0.44, 0.198, 0.514, -0.054, g
1, 1.0, 0.242, 1.0, 0.486, 1.0, 0.73, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.771, 1.0, 1.0, 1.0, 1.0, 0.745, 1.0, 0.896, 1.0, 0.646, 1.0, 0.383, 1.0, 0.108, 1.0, -0.174, 1.0, -0.814, 1.0, g
1, 0.923, 0.078, 0.927, 0.163, 0.897, 0.246, 0.841, 0.352, 0.788, 0.422, 0.707, 0.47, 0.708, 0.565, 0.605, 0.642, 0.512, 0.649, 0.399, 0.67, 0.342, 0.683, 0.237, 0.761, 0.188, 0.739, 0.097, 0.71, 0.027, 0.771, -0.04, 0.695, g
1, 0.682, -0.173, 0.823, 0.219, 0.466, 0.329, 0.258, 0.583, 1.0, -0.152, 0.011, 0.445, 0.011, 0.389, 0.187, 0.412, 0.106, 0.364, 0.043, 0.307, -0.0010, 0.249, -0.029, 0.194, -0.043, 0.145, -0.048, 0.103, -0.046, 0.071, -0.04, 0.046, b
1, 0.749, -0.028, 0.657, -0.052, 0.806, 0.028, 0.859, 0.025, 0.635, 0.087, 0.716, 0.078, 0.731, 0.052, 0.786, -0.278, 0.66, -0.015, 0.787, 0.07, 0.346, -0.186, 0.654, 0.028, 0.61, -0.066, 0.536, -0.212, 0.59, -0.141, 0.564, 0.03, g
1, 0.675, 0.045, 0.77, -0.106, 0.774, 0.038, 0.66, -0.045, 0.645, 0.011, 0.668, -0.14, 0.721, -0.023, 0.77, 0.087, 0.619, -0.079, 0.758, -0.238, 0.74, -0.147, 0.849, -0.151, 0.739, -0.058, 0.668, 0.023, 0.864, 0.038, 0.732, 0.0080, g
1, 0.727, -0.05, 0.892, 0.035, 1.0, 0.727, 0.664, -0.059, 0.482, -0.168, 0.818, 0.096, 0.568, 1.0, 0.505, 0.218, 0.668, 0.1, 1.0, -0.3, 0.986, -1.0, 0.573, 0.327, 0.57, 0.147, 0.423, 0.082, 0.489, 0.146, 1.0, 1.0, b
1, -0.542, 0.149, -0.337, 0.734, 0.52, -0.139, 0.319, -0.068, 0.207, -0.152, 0.474, 0.09, 0.563, -0.155, 0.164, 0.452, 0.337, 0.034, 0.505, 0.071, -0.638, -0.616, 1.0, 0.656, 0.413, -0.401, -0.152, 0.111, 0.024, 0.558, 0.526, -0.09, b
1, 0.945, -0.493, 1.0, -0.037, 0.989, -0.871, 0.901, 0.669, 1.0, -0.101, 1.0, -0.125, 1.0, -0.15, 1.0, -0.177, 1.0, -0.205, 1.0, -0.235, 1.0, -0.266, 1.0, -0.299, 1.0, -0.333, 1.0, -0.369, 1.0, -0.407, 1.0, -0.447, g
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.622, 1.0, 0.0, 0.0, 0.0, 0.0, 0.366, -0.72, 0.561, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 0.994, 0.0050, 0.841, -0.113, 0.882, -0.164, 0.991, -0.063, 0.965, -0.075, 0.852, 0.03, 0.872, -0.208, 0.939, -0.13, 0.983, -0.089, 0.899, 0.0010, 0.878, -0.059, 0.934, -0.199, 0.876, -0.178, 0.943, -0.166, 0.803, -0.257, 0.766, -0.278, g
1, 0.959, 0.101, 1.0, -0.019, 0.983, 0.026, 0.97, -0.093, 0.99, -0.027, 0.98, -0.031, 1.0, -0.053, 1.0, -0.052, 0.938, 0.016, 0.976, -0.093, 0.979, -0.053, 0.916, -0.157, 0.957, -0.07, 0.91, 0.013, 1.0, -0.108, 0.931, -0.069, g
1, -0.267, 0.4, -0.273, 0.122, -0.178, -0.044, 0.062, -0.069, 0.045, 0.026, -0.0090, 0.027, -0.016, -0.0020, -0.0010, -0.0090, 0.0050, -0.0020, 0.0010, 0.0020, -0.0010, 0.0010, -0.0010, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, b
1, 0.853, 0.054, 1.0, 0.081, 1.0, 1.0, 0.915, -0.0080, 0.837, 0.039, 1.0, 0.272, 1.0, 1.0, 0.814, 0.047, 0.907, 0.116, 1.0, 0.507, 1.0, -1.0, 0.806, 0.039, 1.0, 0.716, 0.845, 0.07, 1.0, 0.873, 1.0, 1.0, b
1, -0.205, 0.288, 0.23, 0.1, 0.282, 0.318, 0.322, 0.35, 0.363, -0.346, 0.092, 0.275, -0.095, 0.21, -0.088, 0.235, -0.342, 0.314, -0.48, -0.08, 0.299, 0.332, -0.58, -0.24, 0.322, -0.285, -0.47, 0.185, -0.271, -0.312, 0.404, 0.03, b
1, 0.6, 0.033, 0.633, 0.067, 0.7, 0.067, 0.7, 0.0, 0.633, 0.0, 0.8, 0.0, 0.733, 0.0, 0.7, 0.1, 0.667, 0.1, 0.733, -0.033, 0.767, 0.0, 0.633, 0.133, 0.659, 0.102, 0.6, 0.133, 0.6, 0.167, 0.633, 0.167, g
1, 0.059, -0.0080, 0.067, 0.0080, 0.0, -0.011, 0.0060, -0.039, 0.017, -0.075, -0.0060, 0.053, 0.064, -0.034, 0.0, 0.095, -0.064, 0.075, -0.047, 0.025, 0.028, -0.0060, 0.0080, 0.0060, 0.103, -0.0080, 0.031, -0.0030, 0.045, 0.0, 0.047, -0.034, b
1, 0.055, 0.014, -0.026, 0.046, 0.014, 0.046, -0.078, 0.0090, 0.017, -0.066, -0.037, 0.043, -0.083, -0.046, -0.095, 0.08, -0.04, 0.052, 0.02, 0.023, -0.037, -0.011, 0.032, -0.0090, 0.0090, 0.017, 0.026, 0.011, 0.026, 0.011, -0.046, -0.0060, b
1, 0.087, 0.0070, 0.14, -0.041, 0.105, -0.082, 0.126, -0.062, 0.233, -0.011, 0.124, 0.078, 0.146, -0.135, 0.291, -0.048, 0.19, 0.073, 0.117, 0.0, 0.112, -0.0020, 0.151, -0.103, 0.085, 0.014, 0.112, -0.066, 0.096, -0.073, 0.117, -0.069, b
1, 0.02, 0.0070, 0.041, -0.0080, 0.021, 0.011, 0.011, 0.044, 0.0030, 0.0010, 0.02, -0.031, -0.02, 0.061, -0.041, 0.027, -0.024, -0.0040, 0.044, -0.025, 0.018, 0.0, 0.0, -0.013, 0.018, -0.011, 0.0060, -0.016, -0.017, -0.024, 0.0070, 0.0, b
1, 0.857, 0.0010, 0.819, -0.057, 0.775, -0.042, 0.843, 0.09, 0.863, 0.119, 0.881, -0.061, 0.783, 0.035, 0.837, -0.068, 0.836, -0.142, 0.881, 0.012, 0.905, 0.022, 0.797, -0.019, 0.824, -0.037, 0.881, -0.064, 0.739, -0.019, 0.791, -0.092, g
1, 1.0, 0.0, 1.0, 0.0, 0.667, 0.111, 1.0, -0.111, 0.889, -0.111, 1.0, -0.222, 0.778, 0.0, 0.778, 0.0, 1.0, -0.111, 0.778, -0.111, 0.667, -0.111, 0.667, 0.0, 0.903, -0.054, 1.0, 0.111, 0.889, -0.111, 1.0, 0.0, g
1, 1.0, 0.118, 1.0, 0.235, 1.0, 0.412, 1.0, 0.059, 1.0, 0.235, 1.0, 0.118, 1.0, 0.471, 1.0, -0.059, 1.0, -0.118, 1.0, 0.353, 1.0, 0.412, 1.0, -0.118, 1.0, 0.202, 1.0, 0.059, 1.0, 0.353, 1.0, 0.235, g
1, -1.0, -1.0, -0.507, 1.0, 1.0, -1.0, 1.0, 0.538, 0.0, 0.0, 0.24, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -0.715, 1.0, 0.333, -1.0, 1.0, -1.0, 0.698, -1.0, 0.476, 1.0, b
1, 1.0, -0.284, 1.0, -0.253, 0.946, -0.351, 1.0, -0.306, 0.927, -0.491, 0.908, -0.441, 0.757, -0.589, 0.697, -0.58, 0.596, -0.576, 0.685, -0.71, 0.545, -0.873, 0.492, -0.733, 0.355, -0.761, 0.264, -0.782, 0.166, -0.731, 0.14, -0.7, g
1, 0.455, 0.091, 0.636, 0.091, 0.273, 0.182, 0.636, 0.0, 0.364, -0.091, 0.455, -0.091, 0.486, -0.013, 0.636, -0.182, 0.455, 0.0, 0.364, -0.091, 0.273, 0.182, 0.364, -0.091, 0.344, -0.018, 0.273, 0.0, 0.364, 0.0, 0.29, -0.018, g
1, 0.87, 0.47, 0.539, 0.822, 0.104, 0.953, -0.38, 0.879, -0.739, 0.582, -0.921, 0.167, -0.824, -0.249, -0.594, -0.633, -0.24, -0.829, 0.188, -0.787, 0.516, -0.574, 0.693, -0.248, 0.691, 0.105, 0.528, 0.398, 0.26, 0.566, -0.067, 0.576, g
1, 0.975, 0.131, 0.941, 0.2, 0.888, 0.322, 0.89, 0.327, 0.856, 0.452, 0.723, 0.523, 0.699, 0.588, 0.585, 0.669, 0.489, 0.704, 0.442, 0.682, 0.353, 0.756, 0.268, 0.762, 0.168, 0.785, 0.075, 0.804, -0.03, 0.777, -0.103, 0.742, g
1, 0.888, 0.381, 0.659, 0.694, 0.291, 0.879, -0.067, 0.901, -0.396, 0.804, -0.646, 0.565, -0.83, 0.269, -0.789, -0.082, -0.628, -0.309, -0.466, -0.556, -0.164, -0.643, 0.096, -0.611, 0.304, -0.484, 0.432, -0.298, 0.47, -0.095, 0.422, 0.126, g
0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, b
1, 0.763, -0.078, 1.0, -0.296, 1.0, -0.857, 0.8, 0.061, 0.456, -0.428, 1.0, -0.126, 1.0, -0.835, 0.493, 0.019, 0.822, -0.059, 0.982, -0.199, 1.0, 0.22, 0.696, -0.265, 0.921, -0.245, 0.789, 0.02, 0.875, -0.271, 1.0, -0.57, g
1, 0.253, 0.359, 0.0, 0.0, -0.296, -1.0, 0.0, 0.0, 0.076, -0.073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0080, 0.681, -0.2, 0.337, -0.104, 0.357, 0.056, -1.0, 0.0, 0.0, 0.063, -1.0, 0.0, 0.0, b
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 0.552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 0.328, 0.025, 0.152, 0.213, 0.149, 0.74, -0.257, 0.923, -0.103, 0.194, -0.614, 0.258, -0.941, -0.054, -0.131, -0.143, -0.303, -0.446, -0.114, -0.856, 0.027, -0.228, 0.279, -0.063, 0.337, -0.119, 0.277, -0.114, 0.151, 0.133, 0.122, 0.205, g
1, 0.589, -0.609, 0.854, 0.553, 0.811, 0.073, 0.566, 0.162, 0.328, 0.242, 0.503, 0.123, 0.639, 0.199, 0.719, 0.427, 0.543, 0.139, 0.652, 0.278, 0.689, 0.073, 0.519, 0.267, 0.49, 0.277, 0.462, 0.286, 0.435, 0.293, 0.408, 0.299, g
1, 0.479, -0.124, 0.428, -0.124, 0.701, -0.392, 0.732, 0.072, 0.263, -0.216, 0.495, 0.16, 0.454, -0.119, 0.423, 0.062, 0.5, -0.273, 0.546, 0.186, 0.423, 0.082, 0.706, 0.196, 0.534, -0.124, 0.155, -0.263, 0.474, 0.041, 0.454, -0.515, g
1, 0.585, -0.355, 1.0, 0.353, 0.754, -0.0060, 0.825, 0.194, 0.502, -0.276, 0.66, 0.064, 0.697, 0.147, 0.724, -0.427, 0.761, 0.045, 0.669, 0.205, 0.848, -0.41, 0.648, -0.047, 0.568, -0.106, 0.528, -0.133, 0.156, -0.122, 0.448, -0.103, g
1, 0.836, 0.132, 0.722, 0.061, 0.658, 0.083, 0.239, 0.13, 0.438, 0.203, 0.494, 0.127, 0.447, 0.135, 0.294, 0.029, 0.482, 0.158, 0.328, 0.146, 0.295, 0.146, 0.264, 0.145, 0.236, 0.143, 0.264, 0.161, 0.188, 0.136, 0.167, 0.132, g
1, 0.749, 0.025, 0.99, 0.098, 0.759, 0.129, 0.743, -0.092, 0.958, 0.025, 0.979, -0.0050, 0.961, 0.102, 0.915, 0.038, 0.71, 0.027, 0.812, -0.08, 1.0, 0.0, 0.718, -0.012, 0.823, 0.026, 0.724, -0.011, 0.904, 0.111, 0.728, 0.028, g
1, 0.931, 0.293, 0.799, 0.558, 0.6, 0.716, 0.262, 0.927, 0.046, 0.967, -0.232, 0.951, -0.559, 0.81, -0.733, 0.624, -0.91, 0.362, -0.923, 0.06, -0.936, -0.198, -0.832, -0.469, -0.652, -0.696, -0.412, -0.857, -0.136, -0.94, 0.1, -0.948, g
1, 0.835, 0.29, 0.693, 0.477, 0.492, 0.684, 0.22, 0.868, -0.081, 0.85, -0.356, 0.777, -0.527, 0.584, -0.704, 0.313, -0.758, 0.039, -0.712, -0.153, -0.583, -0.392, -0.372, -0.53, -0.17, -0.609, 0.084, -0.615, 0.252, -0.485, 0.406, -0.353, g
1, 0.525, -0.034, 0.949, 0.085, 0.525, -0.169, 0.305, -0.017, 0.508, -0.136, 0.644, 0.288, 0.831, -0.356, 0.542, 0.017, 0.559, 0.034, 0.593, 0.305, 0.864, 0.051, 0.407, 0.153, 0.673, -0.0030, 0.661, -0.034, 0.831, -0.153, 0.763, -0.102, g
1, 0.937, 0.351, 0.753, 0.656, 0.456, 0.886, 0.153, 0.958, -0.218, 0.963, -0.565, 0.834, -0.788, 0.58, -0.931, 0.26, -0.936, -0.064, -0.87, -0.409, -0.651, -0.675, -0.368, -0.85, -0.046, -0.912, 0.273, -0.858, 0.548, -0.696, 0.748, -0.442, g
1, 1.0, -0.241, 1.0, -0.203, 0.873, -0.101, 0.886, 0.013, 1.0, 0.114, 0.924, 0.063, 0.848, -0.038, 0.633, -0.367, 0.873, -0.013, 0.937, 0.063, 1.0, 0.253, 0.62, -0.38, 0.846, -0.055, 1.0, -0.063, 0.532, 0.025, 0.835, -0.025, g
1, 0.975, 0.0070, 0.986, 0.02, 1.0, 0.02, 0.993, 0.016, 0.957, 0.023, 0.972, 0.036, 1.0, 0.037, 0.979, 0.021, 0.986, 0.057, 0.972, 0.048, 0.945, 0.055, 0.984, 0.036, 0.975, 0.065, 0.948, 0.082, 0.991, 0.062, 0.989, 0.099, g
1, 0.195, 0.057, 0.042, 0.252, -0.106, 0.489, -0.183, -0.183, -0.42, 0.061, -0.454, 0.092, -0.164, -0.305, -0.103, -0.397, 0.187, -0.176, 0.34, -0.12, 0.286, -0.16, 0.216, 0.247, 0.039, 0.311, -0.038, 0.263, -0.168, 0.168, -0.302, -0.336, g
1, 0.667, -0.014, 0.974, 0.068, 0.496, 0.501, 0.757, -0.0030, 0.652, -0.141, 0.402, -0.489, 0.392, 0.587, 0.768, 0.318, 0.786, 0.113, 0.475, -0.449, 1.0, 0.0070, 0.607, 0.07, 0.687, 0.171, 0.876, 0.078, 0.553, 0.246, 0.139, 0.481, g
1, 0.847, 0.135, 0.736, -0.062, 0.879, 0.083, 0.889, -0.091, 0.787, 0.067, 0.807, -0.0040, 0.793, -0.011, 0.858, -0.046, 0.872, -0.035, 0.817, -0.095, 0.71, 0.044, 0.865, -0.151, 0.811, -0.048, 0.782, -0.0070, 0.757, -0.067, 0.858, -0.062, g
1, 1.0, 0.065, 1.0, 0.207, 1.0, 0.263, 0.931, 0.322, 0.868, 0.39, 0.755, 0.501, 0.796, 0.523, 0.66, 0.608, 0.576, 0.63, 0.478, 0.671, 0.406, 0.688, 0.344, 0.721, 0.277, 0.724, 0.193, 0.707, 0.114, 0.727, 0.07, 0.714, g
1, 1.0, 0.017, 0.962, -0.031, 1.0, -0.034, 1.0, -0.051, 0.99, -0.071, 0.992, -0.09, 1.0, -0.157, 1.0, -0.143, 0.983, -0.118, 1.0, -0.185, 1.0, -0.193, 0.99, -0.221, 0.965, -0.202, 0.946, -0.171, 0.964, -0.226, 0.87, -0.233, g
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 1.0, 0.234, 0.914, 0.52, 0.78, 0.721, 0.477, 0.842, 0.276, 0.917, 0.095, 0.882, -0.22, 0.914, -0.342, 0.755, -0.514, 0.645, -0.645, 0.446, -0.741, 0.292, -0.708, 0.036, -0.717, -0.119, -0.65, -0.282, -0.513, -0.445, -0.374, -0.533, g
1, -1.0, 0.281, 0.222, 0.15, -0.757, -0.71, -0.307, 0.712, -1.0, 1.0, -0.817, 0.34, -0.791, -0.026, -0.98, -0.83, -0.601, -0.542, -0.046, -0.83, 0.941, -0.941, -1.0, -0.431, 0.744, 0.092, -1.0, 0.052, 0.183, 0.026, -0.402, -0.482, b
1, 0.794, 0.295, 0.641, 0.523, 0.413, 0.682, 0.142, 0.835, -0.168, 0.788, -0.429, 0.723, -0.572, 0.415, -0.754, 0.168, -0.7, -0.099, -0.577, -0.235, -0.406, -0.383, -0.174, -0.525, 0.015, -0.487, 0.19, -0.381, 0.31, -0.232, 0.346, -0.08, g
1, 0.901, 0.418, 0.641, 0.757, 0.304, 0.951, -0.204, 0.965, -0.555, 0.812, -0.819, 0.509, -0.97, 0.103, -0.915, -0.314, -0.702, -0.655, -0.324, -0.89, 0.059, -0.942, 0.445, -0.822, 0.741, -0.552, 0.894, -0.187, 0.879, 0.204, 0.706, 0.549, g
