@relation page-blocks
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {1, 2, 3, 4, 5}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
9, 33, 297, 3.667, 0.259, 0.774, 1.67, 77, 230, 46, 1
9, 43, 387, 4.778, 0.377, 0.922, 2.25, 146, 357, 65, 1
5, 46, 230, 9.2, 0.278, 0.835, 2.21, 64, 192, 29, 1
7, 45, 315, 6.429, 0.2, 0.775, 1.91, 63, 244, 33, 1
7, 27, 189, 3.857, 0.238, 0.741, 2.81, 45, 140, 16, 1
10, 98, 980, 9.8, 0.448, 0.881, 2.74, 439, 863, 160, 1
11, 67, 737, 6.091, 0.331, 0.844, 2.28, 244, 622, 107, 1
10, 80, 800, 8.0, 0.314, 0.799, 2.06, 251, 639, 122, 1
11, 97, 1067, 8.818, 0.297, 0.666, 2.4, 317, 711, 132, 1
9, 82, 738, 9.111, 0.389, 0.92, 2.33, 287, 679, 123, 1
9, 69, 621, 7.667, 0.343, 0.876, 1.75, 213, 544, 122, 1
22, 47, 1034, 2.136, 0.319, 0.753, 2.13, 330, 779, 155, 1
9, 75, 675, 8.333, 0.396, 0.914, 2.21, 267, 617, 121, 1
11, 86, 946, 7.818, 0.283, 0.764, 1.91, 268, 723, 140, 1
1, 124, 124, 124.0, 0.444, 1.0, 7.86, 55, 124, 7, 2
9, 6, 54, 0.667, 0.5, 0.593, 13.5, 27, 32, 2, 1
9, 34, 306, 3.778, 0.288, 0.641, 2.1, 88, 196, 42, 1
10, 98, 980, 9.8, 0.463, 0.945, 2.72, 454, 926, 167, 1
9, 39, 351, 4.333, 0.293, 0.937, 2.06, 103, 329, 50, 1
1, 115, 115, 115.0, 0.2, 1.0, 4.6, 23, 115, 5, 2
10, 131, 1310, 13.1, 0.439, 0.845, 2.79, 575, 1107, 206, 1
10, 98, 980, 9.8, 0.376, 0.861, 2.1, 368, 844, 175, 1
9, 47, 423, 5.222, 0.492, 0.948, 2.42, 208, 401, 86, 1
10, 78, 780, 7.8, 0.381, 0.856, 2.52, 297, 668, 118, 1
9, 7, 63, 0.778, 0.349, 0.683, 2.2, 22, 43, 10, 1
10, 37, 370, 3.7, 0.354, 0.708, 3.2, 131, 262, 41, 1
9, 47, 423, 5.222, 0.371, 0.865, 2.75, 157, 366, 57, 1
9, 41, 369, 4.556, 0.507, 0.992, 3.28, 187, 366, 57, 1
10, 18, 180, 1.8, 0.511, 0.872, 2.97, 92, 157, 31, 1
8, 28, 224, 3.5, 0.259, 0.844, 1.93, 58, 189, 30, 1
28, 330, 9240, 11.786, 0.057, 0.066, 31.0, 527, 614, 17, 2
212, 464, 98368, 2.189, 0.052, 0.07, 11.84, 5066, 6884, 428, 5
10, 38, 380, 3.8, 0.432, 0.939, 2.78, 164, 357, 59, 1
10, 49, 490, 4.9, 0.59, 0.982, 3.11, 289, 481, 93, 1
3, 286, 858, 95.333, 0.406, 0.427, 87.0, 348, 366, 4, 2
10, 53, 530, 5.3, 0.343, 0.811, 2.0, 182, 430, 91, 1
9, 85, 765, 9.444, 0.395, 0.846, 2.32, 302, 647, 130, 1
10, 43, 430, 4.3, 0.458, 0.94, 3.58, 197, 404, 55, 1
9, 40, 360, 4.444, 0.483, 0.992, 2.85, 174, 357, 61, 1
1, 77, 77, 77.0, 0.403, 1.0, 5.17, 31, 77, 6, 2
1, 40, 40, 40.0, 0.875, 1.0, 11.67, 35, 40, 3, 2
7, 42, 294, 6.0, 0.293, 0.857, 2.61, 86, 252, 33, 1
7, 8, 56, 1.143, 0.161, 0.518, 1.8, 9, 29, 5, 1
7, 2, 14, 0.286, 0.5, 0.929, 7.0, 7, 13, 1, 1
6, 11, 66, 1.833, 0.197, 0.848, 1.3, 13, 56, 10, 1
10, 8, 80, 0.8, 0.4, 0.7, 4.0, 32, 56, 8, 1
1, 14, 14, 14.0, 0.571, 1.0, 2.0, 8, 14, 4, 2
9, 12, 108, 1.333, 0.407, 1.0, 1.63, 44, 108, 27, 1
9, 34, 306, 3.778, 0.31, 0.895, 1.61, 95, 274, 59, 1
8, 12, 96, 1.5, 0.469, 1.0, 1.61, 45, 96, 28, 1
11, 85, 935, 7.727, 0.268, 0.902, 1.73, 251, 843, 145, 1
9, 10, 90, 1.111, 0.144, 0.522, 6.5, 13, 47, 2, 5
11, 86, 946, 7.818, 0.289, 0.701, 1.98, 273, 663, 138, 1
1, 13, 13, 13.0, 0.692, 1.0, 3.0, 9, 13, 3, 2
8, 45, 360, 5.625, 0.222, 0.806, 1.9, 80, 290, 42, 1
7, 58, 406, 8.286, 0.212, 0.842, 2.26, 86, 342, 38, 1
4, 15, 60, 3.75, 0.267, 0.8, 4.0, 16, 48, 4, 1
15, 31, 465, 2.067, 0.204, 0.465, 3.96, 95, 216, 24, 1
11, 21, 231, 1.909, 0.316, 0.58, 4.29, 73, 134, 17, 1
9, 37, 333, 4.111, 0.396, 0.85, 2.03, 132, 283, 65, 1
9, 21, 189, 2.333, 0.317, 0.778, 2.61, 60, 147, 23, 1
9, 53, 477, 5.889, 0.317, 0.805, 1.66, 151, 384, 91, 1
9, 9, 81, 1.0, 0.16, 0.864, 1.63, 13, 70, 8, 1
9, 27, 243, 3.0, 0.346, 0.975, 1.87, 84, 237, 45, 1
8, 18, 144, 2.25, 0.472, 1.0, 2.52, 68, 144, 27, 1
10, 125, 1250, 12.5, 0.456, 0.862, 2.92, 570, 1078, 195, 1
9, 43, 387, 4.778, 0.47, 0.948, 3.31, 182, 367, 55, 1
9, 46, 414, 5.111, 0.29, 0.838, 2.18, 120, 347, 55, 1
2, 176, 352, 88.0, 0.528, 0.605, 31.0, 186, 213, 6, 2
1, 39, 39, 39.0, 0.897, 1.0, 8.75, 35, 39, 4, 2
11, 22, 242, 2.0, 0.293, 0.798, 2.37, 71, 193, 30, 1
11, 67, 737, 6.091, 0.269, 0.689, 2.96, 198, 508, 67, 1
7, 123, 861, 17.571, 0.265, 0.626, 1.66, 228, 539, 137, 1
9, 21, 189, 2.333, 0.365, 0.905, 2.3, 69, 171, 30, 1
10, 67, 670, 6.7, 0.3, 0.745, 2.14, 201, 499, 94, 1
8, 32, 256, 4.0, 0.402, 0.898, 1.81, 103, 230, 57, 1
9, 12, 108, 1.333, 0.444, 1.0, 1.85, 48, 108, 26, 1
11, 94, 1034, 8.545, 0.257, 0.604, 2.18, 266, 625, 122, 1
12, 73, 876, 6.083, 0.259, 0.743, 2.1, 227, 651, 108, 1
9, 81, 729, 9.0, 0.322, 0.819, 2.22, 235, 597, 106, 1
9, 47, 423, 5.222, 0.404, 0.943, 1.99, 171, 399, 86, 1
9, 75, 675, 8.333, 0.369, 0.936, 2.09, 249, 632, 119, 1
12, 27, 324, 2.25, 0.318, 0.898, 2.64, 103, 291, 39, 1
9, 21, 189, 2.333, 0.323, 0.81, 1.79, 61, 153, 34, 1
10, 101, 1010, 10.1, 0.442, 0.855, 2.92, 446, 864, 153, 1
12, 118, 1416, 9.833, 0.255, 0.7, 2.06, 361, 991, 175, 1
8, 59, 472, 7.375, 0.206, 0.691, 3.13, 97, 326, 31, 1
10, 9, 90, 0.9, 0.522, 0.656, 9.4, 47, 59, 5, 1
1, 69, 69, 69.0, 0.841, 1.0, 8.29, 58, 69, 7, 2
9, 20, 180, 2.222, 0.3, 0.972, 1.74, 54, 175, 31, 1
8, 83, 664, 10.375, 0.398, 0.94, 2.15, 264, 624, 123, 1
8, 82, 656, 10.25, 0.358, 0.84, 2.24, 235, 551, 105, 1
9, 63, 567, 7.0, 0.284, 0.908, 1.96, 161, 515, 82, 1
8, 83, 664, 10.375, 0.294, 0.955, 2.17, 195, 634, 90, 1
11, 62, 682, 5.636, 0.218, 0.705, 1.62, 149, 481, 92, 1
9, 83, 747, 9.222, 0.289, 0.751, 1.93, 216, 561, 112, 1
9, 32, 288, 3.556, 0.302, 0.674, 2.17, 87, 194, 40, 1
10, 116, 1160, 11.6, 0.273, 0.797, 1.7, 317, 925, 186, 1
8, 43, 344, 5.375, 0.494, 0.953, 3.4, 170, 328, 50, 1
9, 43, 387, 4.778, 0.455, 0.899, 2.98, 176, 348, 59, 1
8, 42, 336, 5.25, 0.423, 0.979, 2.37, 142, 329, 60, 1
10, 131, 1310, 13.1, 0.487, 0.856, 2.94, 638, 1121, 217, 1
11, 89, 979, 8.091, 0.17, 0.706, 2.72, 166, 691, 61, 1
12, 230, 2760, 19.167, 0.164, 0.57, 3.48, 453, 1572, 130, 1
13, 116, 1508, 8.923, 0.279, 0.658, 2.3, 421, 992, 183, 1
7, 49, 343, 7.0, 0.297, 0.641, 2.08, 102, 220, 49, 1
12, 118, 1416, 9.833, 0.309, 0.726, 2.42, 438, 1028, 181, 1
7, 9, 63, 1.286, 0.143, 0.238, 9.0, 9, 15, 1, 5
37, 72, 2664, 1.946, 0.12, 0.257, 7.64, 321, 685, 42, 5
9, 34, 306, 3.778, 0.366, 0.846, 2.38, 112, 259, 47, 1
13, 1, 13, 0.077, 1.0, 1.0, 13.0, 13, 13, 1, 4
7, 116, 812, 16.571, 0.262, 0.788, 1.84, 213, 640, 116, 1
3, 54, 162, 18.0, 0.364, 0.519, 8.43, 59, 84, 7, 2
6, 181, 1086, 30.167, 0.298, 0.684, 1.69, 324, 743, 192, 1
10, 33, 330, 3.3, 0.394, 0.645, 3.25, 130, 213, 40, 1
13, 408, 5304, 31.385, 0.281, 0.677, 2.58, 1492, 3591, 579, 1
13, 151, 1963, 11.615, 0.302, 0.726, 2.59, 593, 1425, 229, 1
12, 103, 1236, 8.583, 0.353, 0.724, 2.55, 436, 895, 171, 1
49, 79, 3871, 1.612, 0.084, 0.179, 7.36, 324, 694, 44, 5
5, 39, 195, 7.8, 0.344, 0.728, 2.09, 67, 142, 32, 1
7, 114, 798, 16.286, 0.253, 0.741, 1.77, 202, 591, 114, 1
7, 1, 7, 0.143, 1.0, 1.0, 7.0, 7, 7, 1, 4
8, 17, 136, 2.125, 0.456, 0.824, 2.38, 62, 112, 26, 1
7, 28, 196, 4.0, 0.337, 0.99, 2.13, 66, 194, 31, 1
22, 71, 1562, 3.227, 0.487, 0.834, 10.13, 760, 1302, 75, 1
15, 136, 2040, 9.067, 0.24, 0.748, 2.81, 489, 1526, 174, 1
7, 181, 1267, 25.857, 0.316, 0.758, 1.65, 400, 961, 242, 1
9, 93, 837, 10.333, 0.278, 0.847, 1.66, 233, 709, 140, 1
6, 100, 600, 16.667, 0.345, 0.795, 1.68, 207, 477, 123, 1
8, 40, 320, 5.0, 0.481, 0.988, 2.61, 154, 316, 59, 1
12, 89, 1068, 7.417, 0.429, 0.879, 3.5, 458, 939, 131, 1
12, 129, 1548, 10.75, 0.303, 0.711, 2.51, 469, 1100, 187, 1
12, 104, 1248, 8.667, 0.335, 0.758, 2.46, 418, 946, 170, 1
39, 70, 2730, 1.795, 0.09, 0.255, 7.0, 245, 697, 35, 5
8, 93, 744, 11.625, 0.324, 0.835, 1.99, 241, 621, 121, 1
9, 62, 558, 6.889, 0.348, 0.869, 2.23, 194, 485, 87, 1
13, 409, 5317, 31.462, 0.312, 0.602, 3.03, 1657, 3200, 547, 1
13, 121, 1573, 9.308, 0.376, 0.69, 3.72, 591, 1086, 159, 1
13, 291, 3783, 22.385, 0.285, 0.627, 2.68, 1080, 2371, 403, 1
13, 277, 3601, 21.308, 0.293, 0.636, 2.59, 1054, 2292, 407, 1
10, 33, 330, 3.3, 0.327, 0.742, 2.35, 108, 245, 46, 1
9, 108, 972, 12.0, 0.449, 0.868, 2.55, 436, 844, 171, 1
14, 116, 1624, 8.286, 0.27, 0.649, 2.12, 439, 1054, 207, 1
6, 90, 540, 15.0, 0.394, 0.804, 2.2, 213, 434, 97, 1
7, 16, 112, 2.286, 0.464, 0.884, 3.25, 52, 99, 16, 1
22, 69, 1518, 3.136, 0.516, 0.848, 10.59, 784, 1287, 74, 1
7, 189, 1323, 27.0, 0.339, 0.704, 1.89, 449, 932, 237, 1
33, 160, 5280, 4.848, 0.219, 0.389, 6.34, 1154, 2054, 182, 1
9, 13, 117, 1.444, 0.564, 0.863, 3.88, 66, 101, 17, 1
11, 37, 407, 3.364, 0.371, 0.899, 2.01, 151, 366, 75, 1
12, 497, 5964, 41.417, 0.269, 0.594, 2.44, 1605, 3544, 658, 1
12, 50, 600, 4.167, 0.345, 0.627, 2.72, 207, 376, 76, 1
7, 46, 322, 6.571, 0.298, 0.994, 2.18, 96, 320, 44, 1
7, 172, 1204, 24.571, 0.294, 0.967, 2.07, 354, 1164, 171, 1
22, 71, 1562, 3.227, 0.536, 0.876, 11.64, 838, 1368, 72, 1
6, 189, 1134, 31.5, 0.324, 0.83, 1.62, 367, 941, 227, 1
8, 70, 560, 8.75, 0.298, 0.914, 1.76, 167, 512, 95, 1
10, 35, 350, 3.5, 0.331, 0.686, 1.93, 116, 240, 60, 1
9, 33, 297, 3.667, 0.33, 0.845, 1.81, 98, 251, 54, 1
5, 27, 135, 5.4, 0.407, 0.815, 2.12, 55, 110, 26, 1
11, 337, 3707, 30.636, 0.179, 0.648, 2.09, 664, 2402, 318, 1
5, 333, 1665, 66.6, 0.374, 0.413, 36.65, 623, 688, 17, 2
22, 70, 1540, 3.182, 0.525, 0.838, 11.54, 808, 1290, 70, 1
8, 69, 552, 8.625, 0.312, 0.842, 1.91, 172, 465, 90, 1
10, 127, 1270, 12.7, 0.388, 0.798, 2.35, 493, 1014, 210, 1
9, 91, 819, 10.111, 0.233, 0.789, 1.71, 191, 646, 112, 1
11, 30, 330, 2.727, 0.379, 0.739, 3.05, 125, 244, 41, 1
11, 104, 1144, 9.455, 0.377, 0.779, 2.57, 431, 891, 168, 1
8, 46, 368, 5.75, 0.291, 0.886, 2.23, 107, 326, 48, 1
10, 121, 1210, 12.1, 0.415, 0.879, 2.61, 502, 1063, 192, 1
27, 115, 3105, 4.259, 0.293, 0.672, 2.35, 910, 2087, 388, 1
12, 414, 4968, 34.5, 0.313, 0.734, 2.3, 1554, 3646, 675, 1
12, 69, 828, 5.75, 0.4, 0.74, 3.48, 331, 613, 95, 1
12, 105, 1260, 8.75, 0.37, 0.717, 2.91, 466, 903, 160, 1
10, 50, 500, 5.0, 0.472, 0.812, 2.74, 236, 406, 86, 1
10, 1, 10, 0.1, 1.0, 1.0, 10.0, 10, 10, 1, 4
9, 108, 972, 12.0, 0.389, 0.88, 2.22, 378, 855, 170, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
24, 64, 1536, 2.667, 0.227, 0.57, 3.38, 348, 875, 103, 1
10, 197, 1970, 19.7, 0.245, 0.751, 1.87, 482, 1479, 258, 1
85, 69, 5865, 0.812, 0.165, 0.441, 1.44, 969, 2588, 674, 5
13, 13, 169, 1.0, 0.124, 0.45, 3.5, 21, 76, 6, 5
7, 41, 287, 5.857, 0.425, 0.993, 1.97, 122, 285, 62, 1
7, 12, 84, 1.714, 0.476, 0.762, 2.86, 40, 64, 14, 1
10, 271, 2710, 27.1, 0.267, 0.698, 1.96, 724, 1892, 369, 1
8, 5, 40, 0.625, 0.275, 0.45, 3.67, 11, 18, 3, 5
7, 15, 105, 2.143, 0.114, 0.295, 2.4, 12, 31, 5, 5
8, 271, 2168, 33.875, 0.314, 0.819, 1.82, 681, 1775, 375, 1
5, 3, 15, 0.6, 0.467, 0.6, 3.5, 7, 9, 2, 5
11, 272, 2992, 24.727, 0.168, 0.595, 1.43, 504, 1781, 352, 1
6, 17, 102, 2.833, 0.343, 0.873, 1.3, 35, 89, 27, 1
10, 271, 2710, 27.1, 0.197, 0.748, 1.38, 533, 2027, 386, 1
6, 9, 54, 1.5, 0.148, 0.296, 4.0, 8, 16, 2, 5
10, 271, 2710, 27.1, 0.199, 0.717, 1.42, 540, 1942, 381, 1
13, 8, 104, 0.615, 0.154, 0.769, 1.07, 16, 80, 15, 5
10, 100, 1000, 10.0, 0.212, 0.702, 1.45, 212, 702, 146, 1
8, 240, 1920, 30.0, 0.193, 0.635, 1.4, 370, 1220, 264, 1
8, 108, 864, 13.5, 0.235, 0.618, 1.41, 203, 534, 144, 1
8, 37, 296, 4.625, 0.182, 0.649, 1.35, 54, 192, 40, 1
11, 271, 2981, 24.636, 0.162, 0.542, 1.36, 483, 1616, 355, 1
11, 271, 2981, 24.636, 0.176, 0.671, 1.39, 525, 2001, 378, 1
10, 47, 470, 4.7, 0.223, 0.706, 1.62, 105, 332, 65, 1
11, 189, 2079, 17.182, 0.174, 0.613, 1.41, 361, 1275, 256, 1
10, 173, 1730, 17.3, 0.09, 0.375, 1.52, 155, 649, 102, 1
10, 197, 1970, 19.7, 0.144, 0.589, 1.25, 284, 1160, 228, 1
8, 96, 768, 12.0, 0.111, 0.479, 1.35, 85, 368, 63, 1
10, 271, 2710, 27.1, 0.176, 0.574, 1.39, 476, 1556, 342, 1
10, 271, 2710, 27.1, 0.193, 0.693, 1.37, 522, 1878, 380, 1
9, 175, 1575, 19.444, 0.19, 0.568, 1.35, 299, 894, 221, 1
7, 17, 119, 2.429, 0.328, 0.731, 1.44, 39, 87, 27, 1
7, 14, 98, 2.0, 0.357, 0.867, 1.75, 35, 85, 20, 1
8, 15, 120, 1.875, 0.3, 0.642, 1.57, 36, 77, 23, 1
6, 20, 120, 3.333, 0.175, 0.792, 1.5, 21, 95, 14, 1
8, 99, 792, 12.375, 0.199, 0.662, 1.39, 158, 524, 114, 1
6, 69, 414, 11.5, 0.28, 0.744, 1.4, 116, 308, 83, 1
8, 80, 640, 10.0, 0.184, 0.544, 1.4, 118, 348, 84, 1
5, 38, 190, 7.6, 0.426, 0.989, 1.42, 81, 188, 57, 1
5, 6, 30, 1.2, 0.367, 0.767, 3.67, 11, 23, 3, 1
7, 8, 56, 1.143, 0.357, 1.0, 2.86, 20, 56, 7, 1
10, 12, 120, 1.2, 0.183, 0.392, 2.2, 22, 47, 10, 1
7, 41, 287, 5.857, 0.213, 0.861, 1.33, 61, 247, 46, 1
9, 23, 207, 2.556, 0.246, 0.57, 1.82, 51, 118, 28, 1
8, 17, 136, 2.125, 0.265, 0.566, 1.71, 36, 77, 21, 1
7, 37, 259, 5.286, 0.301, 0.691, 1.81, 78, 179, 43, 1
7, 54, 378, 7.714, 0.267, 0.619, 1.42, 101, 234, 71, 1
6, 17, 102, 2.833, 0.255, 0.745, 1.18, 26, 76, 22, 1
7, 41, 287, 5.857, 0.185, 0.638, 1.51, 53, 183, 35, 1
10, 12, 120, 1.2, 0.225, 0.558, 2.7, 27, 67, 10, 1
7, 16, 112, 2.286, 0.25, 0.527, 2.0, 28, 59, 14, 1
10, 58, 580, 5.8, 0.081, 0.224, 1.62, 47, 130, 29, 1
9, 8, 72, 0.889, 0.264, 1.0, 1.27, 19, 72, 15, 1
7, 18, 126, 2.571, 0.206, 0.651, 2.17, 26, 82, 12, 1
7, 4, 28, 0.571, 0.286, 0.964, 8.0, 8, 27, 1, 1
7, 9, 63, 1.286, 0.365, 0.857, 1.77, 23, 54, 13, 1
7, 30, 210, 4.286, 0.352, 0.79, 1.54, 74, 166, 48, 1
10, 151, 1510, 15.1, 0.193, 0.77, 1.48, 291, 1162, 197, 1
8, 81, 648, 10.125, 0.221, 0.591, 1.29, 143, 383, 111, 1
5, 15, 75, 3.0, 0.36, 0.933, 1.35, 27, 70, 20, 1
5, 5, 25, 1.0, 0.44, 1.0, 1.57, 11, 25, 7, 1
7, 23, 161, 3.286, 0.329, 1.0, 1.39, 53, 161, 38, 1
8, 11, 88, 1.375, 0.25, 0.83, 1.29, 22, 73, 17, 1
7, 19, 133, 2.714, 0.361, 0.917, 1.5, 48, 122, 32, 1
7, 8, 56, 1.143, 0.357, 0.893, 2.22, 20, 50, 9, 1
7, 4, 28, 0.571, 0.25, 0.857, 2.33, 7, 24, 3, 1
7, 17, 119, 2.429, 0.286, 0.916, 1.31, 34, 109, 26, 1
6, 49, 294, 8.167, 0.286, 0.694, 1.38, 84, 204, 61, 1
7, 30, 210, 4.286, 0.305, 0.871, 1.64, 64, 183, 39, 1
7, 46, 322, 6.571, 0.304, 0.745, 1.53, 98, 240, 64, 1
9, 21, 189, 2.333, 0.206, 0.778, 1.22, 39, 147, 32, 1
9, 58, 522, 6.444, 0.203, 0.531, 1.34, 106, 277, 79, 1
9, 8, 72, 0.889, 0.222, 0.736, 1.78, 16, 53, 9, 1
9, 19, 171, 2.111, 0.222, 0.673, 1.31, 38, 115, 29, 1
8, 16, 128, 2.0, 0.234, 0.922, 1.58, 30, 118, 19, 1
7, 13, 91, 1.857, 0.363, 0.934, 2.2, 33, 85, 15, 1
9, 23, 207, 2.556, 0.222, 0.816, 1.35, 46, 169, 34, 1
5, 7, 35, 1.4, 0.457, 1.0, 2.0, 16, 35, 8, 1
7, 26, 182, 3.714, 0.302, 0.912, 1.53, 55, 166, 36, 1
7, 18, 126, 2.571, 0.27, 0.825, 1.31, 34, 104, 26, 1
7, 21, 147, 3.0, 0.293, 0.81, 1.34, 43, 119, 32, 1
7, 19, 133, 2.714, 0.248, 0.624, 1.5, 33, 83, 22, 1
7, 24, 168, 3.429, 0.232, 0.851, 1.22, 39, 143, 32, 1
7, 4, 28, 0.571, 0.286, 1.0, 2.0, 8, 28, 4, 1
7, 11, 77, 1.571, 0.403, 0.974, 1.48, 31, 75, 21, 1
5, 24, 120, 4.8, 0.375, 0.95, 1.45, 45, 114, 31, 1
9, 39, 351, 4.333, 0.239, 0.624, 1.53, 84, 219, 55, 1
7, 32, 224, 4.571, 0.277, 0.83, 1.41, 62, 186, 44, 1
6, 6, 36, 1.0, 0.361, 1.0, 1.44, 13, 36, 9, 1
6, 7, 42, 1.167, 0.357, 0.762, 2.14, 15, 32, 7, 1
7, 5, 35, 0.714, 0.371, 0.829, 1.86, 13, 29, 7, 1
7, 35, 245, 5.0, 0.302, 0.939, 1.48, 74, 230, 50, 1
7, 20, 140, 2.857, 0.379, 1.0, 1.61, 53, 140, 33, 1
7, 23, 161, 3.286, 0.286, 0.677, 1.59, 46, 109, 29, 1
7, 39, 273, 5.571, 0.293, 0.733, 1.43, 80, 200, 56, 1
8, 39, 312, 4.875, 0.224, 0.824, 1.21, 70, 257, 58, 1
7, 54, 378, 7.714, 0.235, 0.799, 1.53, 89, 302, 58, 1
7, 17, 119, 2.429, 0.227, 0.891, 1.5, 27, 106, 18, 1
6, 26, 156, 4.333, 0.288, 0.872, 1.29, 45, 136, 35, 1
7, 11, 77, 1.571, 0.299, 0.779, 1.64, 23, 60, 14, 1
7, 16, 112, 2.286, 0.286, 0.705, 1.88, 32, 79, 17, 1
