@relation banana
@attribute At1 real [-3.09, 2.81]
@attribute At2 real [-2.39, 3.19]
@attribute Class {-1.0, 1.0}
@inputs At1, At2
@outputs Class
@data
0.719, 0.0781, 1.0
-0.207, -0.745, -1.0
0.661, 1.69, -1.0
0.867, 0.81, -1.0
-1.2, -1.02, -1.0
1.71, 0.0217, -1.0
0.0544, -1.59, -1.0
-0.496, -1.09, -1.0
-0.636, 1.35, -1.0
1.29, -1.43, 1.0
-0.972, -1.06, -1.0
0.313, -1.07, -1.0
-1.24, -0.352, 1.0
-0.456, 1.55, -1.0
-0.201, 0.0726, 1.0
1.34, -0.261, -1.0
0.286, 1.23, -1.0
-1.59, -0.98, 1.0
-1.52, 0.934, -1.0
1.05, 0.444, -1.0
2.6, 0.951, 1.0
1.18, 0.392, -1.0
1.24, 0.273, -1.0
-0.758, -1.21, -1.0
-0.472, 0.411, 1.0
-0.288, 0.305, 1.0
1.23, -0.493, -1.0
0.487, -0.13, 1.0
-0.0508, -1.19, -1.0
-2.07, 0.0318, -1.0
-1.01, -0.771, 1.0
0.952, 0.427, -1.0
-0.407, 0.602, 1.0
-0.946, 1.02, -1.0
-0.856, -1.31, -1.0
-0.404, 0.178, 1.0
-0.0242, -0.659, 1.0
-0.0874, -0.948, -1.0
-0.779, -1.14, -1.0
-1.52, -0.658, 1.0
1.15, -1.52, 1.0
0.469, -0.321, 1.0
1.4, 0.377, -1.0
1.07, -0.0433, -1.0
-1.35, -0.485, 1.0
-0.198, 1.67, 1.0
0.168, 0.345, 1.0
-1.31, 0.916, -1.0
-0.817, -1.19, -1.0
2.34, -1.25, -1.0
-0.374, -1.08, -1.0
-1.16, 0.381, -1.0
-0.748, -0.57, 1.0
1.02, 0.997, -1.0
0.15, 1.3, -1.0
-1.2, 0.932, -1.0
-0.598, 1.22, -1.0
0.548, -0.959, -1.0
-0.0723, -1.08, -1.0
0.939, 1.69, 1.0
1.29, 0.677, -1.0
-0.146, 0.132, 1.0
0.308, 0.933, -1.0
-0.109, -0.884, -1.0
1.04, 0.816, -1.0
0.379, -0.755, -1.0
0.125, 2.16, -1.0
-0.108, -1.3, -1.0
-0.118, 1.7, 1.0
0.833, -0.254, 1.0
-1.7, -0.845, 1.0
0.195, -0.296, 1.0
0.755, 0.22, 1.0
-0.606, -0.546, 1.0
-1.74, 0.254, -1.0
1.29, 0.153, -1.0
-0.264, -0.768, 1.0
-0.573, -0.789, 1.0
0.0317, -0.821, 1.0
-1.57, 0.942, -1.0
0.552, 2.05, -1.0
-0.466, 0.145, 1.0
1.3, 0.555, -1.0
0.59, -0.796, 1.0
-1.97, -0.271, 1.0
0.165, -0.405, 1.0
-0.00698, -1.15, -1.0
-0.451, 0.775, 1.0
-1.01, 1.07, -1.0
0.118, 0.13, 1.0
-0.786, -0.64, 1.0
0.56, 0.491, -1.0
0.216, -1.12, -1.0
1.18, 0.08, -1.0
-0.474, -0.911, -1.0
1.83, 0.349, -1.0
0.016, -1.13, -1.0
0.143, 1.05, -1.0
-1.59, -0.766, 1.0
1.57, -0.0908, -1.0
1.18, 0.913, -1.0
1.45, -1.78, 1.0
0.969, 0.921, -1.0
-0.238, 0.126, 1.0
-0.827, -0.506, 1.0
0.146, -0.151, 1.0
-1.93, 0.603, -1.0
1.37, 0.625, -1.0
-1.86, -0.977, 1.0
-1.25, 0.104, 1.0
1.85, 1.38, 1.0
0.546, -0.195, 1.0
-1.13, -1.08, 1.0
-1.07, -1.11, 1.0
0.156, 0.152, 1.0
-0.311, 0.995, 1.0
1.52, -1.34, 1.0
-0.124, -1.27, -1.0
0.0584, -0.638, 1.0
0.486, 0.245, 1.0
0.0205, 1.23, -1.0
-1.94, -1.03, 1.0
1.45, 0.273, -1.0
0.144, 1.56, -1.0
-1.58, 0.588, -1.0
-1.58, 0.807, -1.0
-0.502, -1.04, -1.0
1.8, -1.0, -1.0
-0.103, -1.71, -1.0
2.81, 1.3, 1.0
1.18, -0.0513, -1.0
0.126, -0.865, -1.0
1.31, -0.238, -1.0
-0.0936, -1.28, -1.0
0.933, 1.21, -1.0
-0.54, -0.601, 1.0
0.123, -1.62, -1.0
-0.259, 0.996, -1.0
1.37, 0.428, -1.0
-0.804, 0.396, 1.0
-1.03, -0.422, 1.0
0.656, 0.844, -1.0
-0.745, 0.987, -1.0
0.418, -1.12, -1.0
1.66, 1.3, 1.0
-0.966, 0.487, 1.0
-1.95, -0.9, 1.0
1.24, 0.342, -1.0
0.527, 1.18, -1.0
1.76, 1.48, 1.0
-0.824, 0.858, -1.0
0.073, -0.00169, 1.0
0.604, -0.709, 1.0
-1.59, 0.763, -1.0
0.255, 0.412, -1.0
1.78, 1.35, 1.0
-1.12, -1.39, -1.0
0.216, 1.96, 1.0
-0.236, -1.17, -1.0
1.05, 0.768, -1.0
1.93, 1.34, 1.0
-0.791, -1.43, -1.0
1.33, -0.486, 1.0
-0.892, 1.25, -1.0
1.04, 0.779, -1.0
-2.1, -0.859, 1.0
-1.37, 0.645, -1.0
-2.12, -0.575, 1.0
1.1, 0.604, -1.0
0.611, 0.649, -1.0
-0.614, -1.43, -1.0
-0.697, -1.69, -1.0
-0.859, 0.885, -1.0
0.526, 1.36, 1.0
-0.155, -1.03, -1.0
-1.8, 0.529, -1.0
-0.162, -0.0223, 1.0
-1.83, 0.601, -1.0
0.908, -0.506, 1.0
1.16, 0.703, -1.0
0.0554, -0.139, 1.0
-0.116, 0.0815, 1.0
1.51, 1.59, 1.0
1.75, -1.03, -1.0
1.31, 1.07, -1.0
-0.501, 1.1, -1.0
0.32, -0.465, 1.0
-1.27, -0.704, 1.0
-1.62, -1.16, 1.0
0.748, 1.81, 1.0
0.74, 1.35, 1.0
-0.752, -0.319, 1.0
-1.55, -0.663, 1.0
-0.71, 0.465, 1.0
0.598, 0.484, -1.0
1.5, 0.637, -1.0
-0.0979, -1.01, -1.0
2.34, 1.13, 1.0
-0.568, -1.36, -1.0
-0.707, -0.568, 1.0
-0.712, -1.1, -1.0
1.62, 0.0564, -1.0
-0.845, -0.377, 1.0
1.31, -0.566, 1.0
0.58, 1.17, -1.0
0.0052, 0.24, 1.0
0.904, 0.97, -1.0
-0.0782, -1.1, -1.0
-0.295, 0.565, 1.0
-0.338, -0.91, -1.0
-0.832, -1.33, -1.0
-2.01, -1.85, 1.0
-0.755, -1.09, -1.0
0.314, 1.54, -1.0
-1.44, -0.225, 1.0
1.81, -0.218, -1.0
-2.56, -0.0784, -1.0
1.95, -1.02, -1.0
-1.15, 0.729, -1.0
-0.539, -1.21, -1.0
0.299, 1.49, -1.0
-0.0601, 2.04, 1.0
-0.783, -1.33, -1.0
-1.55, -1.6, 1.0
0.69, 0.745, -1.0
-0.19, 0.168, 1.0
1.19, 0.594, -1.0
-0.132, -1.35, -1.0
-0.475, -1.02, -1.0
0.0551, 1.34, -1.0
0.136, -1.36, -1.0
-0.468, -0.206, 1.0
0.0586, -0.133, 1.0
0.495, 1.54, -1.0
0.876, -0.807, 1.0
-0.685, 0.459, 1.0
0.265, 1.4, -1.0
-0.995, -0.937, -1.0
1.09, -1.24, 1.0
0.22, 2.08, -1.0
-0.519, -1.0, -1.0
0.32, 0.282, 1.0
0.72, -0.154, 1.0
0.511, -0.773, 1.0
-0.016, -1.26, -1.0
-0.439, -0.884, 1.0
0.424, -0.84, -1.0
-1.23, 0.89, -1.0
0.305, 1.63, 1.0
-1.82, 0.904, -1.0
-0.514, -1.07, -1.0
0.471, 2.03, -1.0
-1.32, 0.907, -1.0
1.41, 0.0907, -1.0
-1.78, -0.491, 1.0
-1.51, -0.966, 1.0
1.68, 0.113, -1.0
1.45, -0.507, -1.0
0.743, -1.01, 1.0
0.0543, -0.967, -1.0
-0.612, -1.42, -1.0
0.44, 0.246, 1.0
0.0179, -1.01, -1.0
1.77, 0.239, -1.0
0.736, 1.64, -1.0
-0.137, -1.39, -1.0
-0.496, 1.03, -1.0
-1.95, 0.614, -1.0
0.322, -1.04, -1.0
1.31, 0.628, -1.0
-0.0785, -1.16, -1.0
-1.04, 1.33, -1.0
0.0336, 0.323, 1.0
0.856, -1.11, 1.0
0.137, -0.862, -1.0
-1.07, -0.017, 1.0
-0.258, -1.06, -1.0
0.395, 1.35, 1.0
1.44, 0.898, -1.0
-0.935, 1.02, -1.0
0.247, -0.96, -1.0
0.923, 0.166, 1.0
-1.19, -0.939, -1.0
0.0209, -0.973, -1.0
-0.215, 0.549, 1.0
-0.706, -0.697, -1.0
-1.55, 0.588, -1.0
0.236, 0.443, 1.0
0.898, -0.719, 1.0
-1.06, 1.49, -1.0
-2.04, 0.401, -1.0
-0.737, -0.0677, 1.0
0.848, 0.402, -1.0
0.784, 1.39, -1.0
0.478, 1.31, 1.0
-1.14, -0.245, 1.0
1.14, 0.494, -1.0
0.667, -1.01, 1.0
-0.581, 0.582, 1.0
-1.18, 0.732, -1.0
-1.52, -1.4, 1.0
-1.45, -0.701, 1.0
-0.139, -1.27, -1.0
0.945, 0.239, 1.0
-0.891, 0.593, -1.0
0.576, -0.342, 1.0
-0.596, -0.989, -1.0
-0.298, -0.243, 1.0
0.444, 1.14, -1.0
1.78, 1.19, 1.0
1.01, 1.57, 1.0
-0.223, 1.04, -1.0
0.729, 1.49, 1.0
0.308, -0.913, -1.0
1.46, -0.0465, -1.0
-0.158, -1.08, -1.0
-0.666, -1.34, -1.0
-1.51, -1.39, 1.0
1.05, 0.409, -1.0
0.751, 0.608, -1.0
2.33, 1.21, 1.0
-1.24, 0.323, 1.0
-1.15, -0.647, 1.0
1.57, 1.16, 1.0
1.39, 0.504, -1.0
-1.21, -0.785, 1.0
0.175, 0.652, 1.0
-0.759, 0.366, 1.0
-0.847, -0.896, -1.0
1.23, -0.785, 1.0
0.357, 0.647, -1.0
-1.36, -0.258, 1.0
-1.21, -0.733, 1.0
1.14, 0.814, -1.0
1.27, 0.0842, -1.0
0.957, 0.0986, -1.0
-0.639, -1.04, -1.0
0.0909, -1.39, -1.0
-0.961, -0.102, 1.0
-0.322, 0.535, 1.0
1.21, 1.31, 1.0
0.137, -0.247, 1.0
-0.335, -1.69, -1.0
-0.715, 0.0859, 1.0
0.922, 0.93, -1.0
-1.37, 0.968, -1.0
0.409, -0.0572, 1.0
0.484, -1.3, -1.0
1.0, -0.0897, -1.0
1.09, 0.299, -1.0
0.659, 0.913, -1.0
-1.63, 0.293, -1.0
0.874, 1.79, -1.0
-1.3, 0.577, -1.0
1.53, -1.05, 1.0
0.858, 0.399, -1.0
0.126, 0.819, -1.0
0.932, 1.43, 1.0
0.472, 1.37, -1.0
-0.214, 1.76, -1.0
-0.53, -0.944, -1.0
0.37, -0.0513, 1.0
0.695, 0.651, -1.0
-0.563, -0.164, 1.0
-1.32, -0.146, 1.0
0.617, 1.11, -1.0
-1.41, 1.14, -1.0
-0.755, -0.759, 1.0
1.67, 0.974, 1.0
-0.0571, -1.5, -1.0
-0.261, -1.27, -1.0
0.405, -0.555, 1.0
-0.171, -1.09, -1.0
-0.175, -0.946, -1.0
0.833, 0.653, -1.0
1.19, -0.319, 1.0
1.73, 1.26, 1.0
1.07, 0.438, -1.0
-0.125, 0.521, 1.0
0.857, 0.875, -1.0
0.646, -0.932, 1.0
-1.11, -0.653, 1.0
0.32, -0.998, -1.0
-1.58, -1.61, 1.0
-0.705, 0.129, 1.0
1.35, 1.1, 1.0
0.431, -1.56, -1.0
0.995, 0.502, -1.0
0.108, -0.304, 1.0
0.381, 1.55, -1.0
0.724, 0.417, -1.0
-0.107, -0.232, 1.0
-1.29, 1.52, -1.0
0.632, 1.74, -1.0
-0.499, -1.31, -1.0
-1.78, -0.843, 1.0
-0.491, 1.22, -1.0
0.0182, 1.68, -1.0
-0.733, -1.34, -1.0
0.0578, -1.32, -1.0
-0.621, 1.16, -1.0
-1.17, 0.222, 1.0
0.553, -0.159, 1.0
-1.18, -0.122, 1.0
0.219, 1.59, 1.0
-0.765, -1.13, -1.0
-1.46, -0.179, 1.0
1.95, 1.09, 1.0
1.08, 0.839, -1.0
-0.366, -1.52, -1.0
1.05, 1.07, -1.0
0.912, 2.1, -1.0
-1.02, -0.0308, 1.0
1.43, -0.366, -1.0
-1.59, 0.176, -1.0
0.82, -0.514, 1.0
0.804, 0.6, -1.0
0.683, 1.6, 1.0
1.63, -0.43, -1.0
-0.714, -1.36, -1.0
0.177, -1.07, -1.0
0.448, 0.71, -1.0
0.307, 0.12, 1.0
0.173, -0.428, 1.0
-0.768, -0.0166, 1.0
-0.372, 1.54, -1.0
0.341, -1.43, -1.0
0.247, -0.233, 1.0
0.899, 1.4, 1.0
1.71, -0.289, -1.0
-0.434, 1.98, -1.0
-0.124, -0.95, -1.0
1.2, 0.286, -1.0
0.0175, 1.47, -1.0
1.64, 0.513, -1.0
-1.2, -1.04, -1.0
1.08, -0.133, -1.0
0.0647, -1.22, -1.0
-1.28, -1.07, 1.0
-0.0779, -0.967, -1.0
0.72, -0.316, 1.0
-0.201, 0.596, 1.0
1.27, 0.433, -1.0
0.873, -1.03, 1.0
1.25, -1.62, 1.0
-1.16, -0.285, 1.0
-0.116, 1.26, -1.0
-0.487, -1.19, -1.0
-1.79, -1.46, 1.0
-0.0388, -0.984, -1.0
1.52, -1.12, 1.0
-0.581, -1.34, -1.0
-1.01, 1.21, -1.0
-1.89, -0.418, 1.0
1.39, 1.52, 1.0
-0.193, -0.288, 1.0
-0.545, -1.31, -1.0
1.07, 0.646, -1.0
0.878, -0.856, 1.0
1.17, 1.28, -1.0
-0.912, 1.34, -1.0
-0.148, 1.6, -1.0
0.159, 0.586, 1.0
-1.65, -0.731, 1.0
0.711, 0.787, -1.0
1.47, -1.29, 1.0
-0.499, -0.858, -1.0
-0.515, 0.625, 1.0
-0.325, 0.388, 1.0
0.425, 0.0454, 1.0
1.29, 0.622, -1.0
-0.511, -0.734, -1.0
1.57, 0.171, -1.0
1.36, -1.06, 1.0
-0.731, -0.906, -1.0
0.816, 0.762, -1.0
0.921, 0.3, -1.0
-0.356, -1.16, -1.0
0.74, 0.203, 1.0
1.23, 2.19, -1.0
0.4, -1.39, -1.0
0.00914, 0.431, 1.0
-0.95, 0.144, 1.0
-0.683, 0.419, 1.0
-0.0267, -1.09, -1.0
-1.39, 1.09, -1.0
-0.0931, 1.52, -1.0
-0.0677, -0.394, 1.0
-0.544, -0.773, -1.0
0.175, -0.345, 1.0
1.46, -1.32, 1.0
0.971, 0.64, -1.0
0.301, -0.928, -1.0
-0.429, 1.13, -1.0
0.521, 0.375, 1.0
-0.595, 1.09, -1.0
1.2, 0.361, -1.0
-1.02, 0.409, 1.0
-1.2, 0.4, 1.0
0.196, -1.71, -1.0
-0.113, 0.626, 1.0
2.75, 1.47, 1.0
0.26, -1.17, -1.0
1.08, 1.03, -1.0
1.09, 1.21, -1.0
0.844, -0.402, 1.0
-1.42, 1.13, -1.0
-0.275, 1.52, 1.0
0.948, 1.41, -1.0
1.24, 0.809, -1.0
0.0941, 1.44, -1.0
-0.636, 1.72, -1.0
0.377, 1.72, 1.0
-0.633, -1.18, -1.0
-2.98, -0.16, -1.0
-0.0982, 0.395, 1.0
0.98, 0.766, -1.0
0.47, -0.765, 1.0
0.47, 1.21, -1.0
0.947, -0.888, 1.0
-1.82, -0.899, 1.0
0.362, 1.59, -1.0
-1.51, 0.213, 1.0
0.923, 1.54, 1.0
0.0558, 1.88, -1.0
0.739, 0.673, -1.0
0.67, 0.784, -1.0
-0.856, -0.664, 1.0
0.0844, 1.72, 1.0
-0.954, 0.848, -1.0
-1.1, -1.13, -1.0
-0.178, -1.15, -1.0
0.388, -0.0851, 1.0
-1.3, 0.867, -1.0
1.85, 1.61, 1.0
0.261, 0.214, 1.0
-0.0615, 0.299, 1.0
0.318, 0.621, 1.0
0.908, 0.127, -1.0
-0.492, 0.124, 1.0
0.409, -1.15, -1.0
0.896, 0.363, 1.0
-0.999, 1.2, -1.0
0.3, -1.18, -1.0
1.05, -1.05, 1.0
-0.0203, -1.42, -1.0
-1.51, -0.196, 1.0
1.46, -0.14, -1.0
-0.242, -1.47, -1.0
-1.74, -1.83, 1.0
-0.202, 1.64, -1.0
0.15, 0.442, 1.0
-0.82, -1.04, -1.0
-0.804, 0.687, -1.0
0.832, -1.29, 1.0
-1.78, -1.07, 1.0
-0.128, -1.14, -1.0
0.563, 0.661, -1.0
0.407, 1.8, -1.0
-0.0633, -0.699, -1.0
-0.269, -1.47, -1.0
-0.431, -0.346, 1.0
-0.326, 0.168, 1.0
1.13, 1.38, 1.0
0.847, -0.61, 1.0
-0.917, -1.08, -1.0
0.0545, 2.0, -1.0
0.451, -1.23, -1.0
0.0291, -1.12, -1.0
0.196, -0.779, -1.0
-1.53, -0.665, 1.0
-0.515, 0.976, -1.0
-0.335, -0.81, -1.0
-1.25, -0.576, 1.0
-0.849, -0.187, 1.0
0.251, 0.171, 1.0
1.41, 0.258, -1.0
-0.833, -1.23, -1.0
-2.13, -0.347, 1.0
-0.847, -0.213, 1.0
0.101, 1.93, 1.0
-0.316, 0.177, 1.0
-1.06, 0.665, -1.0
-0.381, 1.41, -1.0
1.24, 0.31, -1.0
-0.0819, 1.64, -1.0
-1.07, 0.256, 1.0
-0.357, -0.944, -1.0
-0.35, -1.49, -1.0
-0.747, -0.72, -1.0
0.84, -0.176, 1.0
0.423, 1.74, 1.0
-1.49, 0.738, -1.0
0.325, -0.0325, 1.0
-1.07, 0.00513, 1.0
-0.0143, 1.55, -1.0
-0.945, -0.639, 1.0
0.465, 0.283, 1.0
-0.502, 1.84, 1.0
-0.265, 1.28, -1.0
-0.632, 1.35, -1.0
-0.949, 1.0, -1.0
-0.142, 0.231, 1.0
0.151, 0.322, 1.0
0.347, 0.414, 1.0
-0.0187, -1.55, -1.0
0.63, -1.23, -1.0
-0.588, -1.35, -1.0
1.96, 1.31, 1.0
-0.298, 0.158, 1.0
1.27, -0.573, 1.0
-0.174, -0.478, 1.0
-0.862, 1.01, -1.0
-1.58, 0.272, -1.0
-1.4, -0.107, 1.0
-0.99, 0.231, 1.0
1.2, -0.778, 1.0
0.941, 1.16, -1.0
-0.971, -0.906, 1.0
-0.813, -1.23, -1.0
1.14, -0.286, 1.0
2.47, 1.12, 1.0
-0.704, 1.46, -1.0
0.097, -0.593, 1.0
-0.246, -0.739, -1.0
-0.889, -0.417, 1.0
1.19, 0.554, -1.0
-1.42, 0.624, -1.0
-1.84, 0.0932, -1.0
-1.64, -1.05, 1.0
-0.739, -0.066, 1.0
1.75, 0.016, -1.0
-0.048, -1.06, -1.0
-1.53, 0.656, -1.0
-1.31, -1.11, 1.0
1.37, -0.8, 1.0
0.834, -0.177, 1.0
-0.972, -1.08, 1.0
1.66, 0.243, -1.0
0.415, 0.986, -1.0
2.42, 1.5, 1.0
0.39, 1.27, -1.0
-0.341, 0.0621, 1.0
-1.78, -0.572, 1.0
-1.51, 0.348, 1.0
-0.534, 1.15, -1.0
0.83, -0.939, 1.0
-1.37, -0.213, 1.0
-0.652, -1.54, -1.0
-0.0215, 0.704, 1.0
-0.145, 0.471, 1.0
0.633, 0.901, -1.0
-0.77, 0.637, -1.0
-1.43, 0.245, -1.0
1.22, 0.423, -1.0
0.0951, -1.39, -1.0
0.675, 0.667, -1.0
0.456, 0.278, 1.0
-0.222, 0.156, 1.0
0.113, 0.462, 1.0
-0.0189, -1.28, -1.0
0.378, 0.987, -1.0
-1.31, -0.627, 1.0
0.752, 1.58, -1.0
-0.245, -1.18, -1.0
-1.19, -0.976, -1.0
1.35, -0.387, 1.0
-1.08, -0.952, -1.0
-1.67, -0.266, 1.0
1.24, 1.45, 1.0
0.0605, 2.06, 1.0
2.62, 1.12, 1.0
-0.26, -1.23, -1.0
1.27, -0.747, -1.0
-2.07, -0.521, 1.0
1.22, 1.04, -1.0
-1.44, 0.0919, 1.0
-2.84, -0.177, -1.0
1.14, 0.376, -1.0
1.41, 1.63, 1.0
0.933, -1.24, 1.0
-1.8, -1.25, 1.0
1.18, 0.334, -1.0
0.769, 0.855, -1.0
1.53, -1.81, 1.0
-1.03, -0.357, 1.0
0.168, 1.97, 1.0
0.538, -1.25, -1.0
0.677, 0.108, 1.0
-0.968, 0.348, 1.0
-0.509, -0.824, -1.0
-0.736, 0.683, 1.0
0.71, 1.7, 1.0
-0.506, -1.2, -1.0
-1.93, -0.315, 1.0
1.54, -0.193, -1.0
1.56, -0.177, -1.0
0.445, -1.38, -1.0
-0.463, 0.0231, 1.0
1.37, 1.45, 1.0
-0.234, -0.974, -1.0
-0.527, 0.887, -1.0
-1.07, -0.039, 1.0
0.204, -1.29, -1.0
-0.218, -1.63, -1.0
-0.614, -1.22, -1.0
0.445, 0.0484, 1.0
-0.474, 0.264, 1.0
-0.558, -1.73, -1.0
0.279, 0.149, 1.0
0.449, -0.0489, 1.0
-0.391, -0.547, 1.0
-1.44, -0.505, 1.0
1.55, -0.649, -1.0
-0.0433, 0.605, 1.0
-1.56, -0.329, 1.0
0.38, -1.35, -1.0
-0.958, 0.812, -1.0
-0.296, 0.538, 1.0
-1.72, 0.142, 1.0
1.33, -1.71, 1.0
0.85, -0.829, 1.0
0.367, -0.451, 1.0
-0.932, -1.15, -1.0
0.23, -1.15, -1.0
-0.927, -0.595, 1.0
0.952, -0.782, 1.0
-0.207, -1.37, -1.0
0.0090, 0.928, 1.0
-1.17, 0.586, -1.0
0.125, -1.24, -1.0
-0.104, 0.48, 1.0
-1.13, 0.654, -1.0
0.93, 0.65, -1.0
1.37, 1.24, 1.0
-0.642, -1.35, -1.0
-0.181, -1.1, -1.0
-0.218, -0.882, -1.0
-1.08, 0.89, -1.0
1.22, 1.48, 1.0
-1.64, 0.572, -1.0
-1.51, -0.27, 1.0
-0.139, -0.363, 1.0
-0.347, -1.15, -1.0
-0.446, -1.53, -1.0
-0.0845, 1.15, -1.0
-0.844, 0.371, 1.0
-0.145, 1.65, -1.0
-1.54, -0.598, 1.0
-1.62, 0.213, -1.0
-1.6, 0.788, -1.0
-0.397, 0.563, 1.0
-0.872, 0.663, -1.0
-0.466, -0.851, -1.0
1.04, 0.0909, 1.0
0.974, 0.877, -1.0
-0.0128, -1.27, -1.0
-0.76, -1.26, -1.0
-0.23, 2.0, 1.0
-0.0411, 0.32, 1.0
-1.75, -1.63, 1.0
0.742, 0.744, -1.0
-1.64, -1.16, 1.0
-1.28, -1.12, 1.0
-0.211, -0.637, -1.0
-1.4, 0.247, 1.0
1.54, -0.749, -1.0
-0.562, -1.12, -1.0
-0.0113, -0.78, -1.0
-0.639, 0.68, 1.0
0.782, -0.139, 1.0
-1.19, -0.774, 1.0
-0.22, -1.12, -1.0
-1.54, 0.562, -1.0
-1.79, -0.124, 1.0
-0.309, 1.16, -1.0
-0.752, -0.117, 1.0
-1.1, 0.322, 1.0
0.672, 1.57, -1.0
1.38, 0.698, -1.0
0.381, 1.61, 1.0
-1.01, -0.0908, 1.0
-2.37, -0.01, -1.0
-1.47, -0.817, 1.0
-0.977, 0.639, 1.0
0.167, -0.793, 1.0
-1.67, 1.1, -1.0
-1.28, -0.471, 1.0
-0.00145, -0.7, 1.0
0.975, -1.34, 1.0
-0.834, -0.258, 1.0
-0.443, 1.02, -1.0
-0.508, -0.694, 1.0
1.78, 1.01, 1.0
-0.295, -1.27, -1.0
1.21, 0.752, -1.0
-1.37, 0.928, -1.0
0.395, 1.21, -1.0
-0.209, -0.356, 1.0
-0.511, 1.53, -1.0
0.0545, -1.32, -1.0
1.29, 0.488, -1.0
-0.421, -1.09, -1.0
-0.633, 0.257, 1.0
-0.555, 0.908, -1.0
1.0, 0.654, -1.0
-1.21, -1.22, -1.0
0.517, 1.46, -1.0
0.329, 0.606, -1.0
0.497, 2.23, -1.0
-0.529, 0.365, 1.0
-1.35, -0.57, 1.0
0.976, 1.24, -1.0
-1.4, 0.98, -1.0
-0.45, -0.928, -1.0
-0.0208, 1.76, 1.0
0.426, 0.194, 1.0
-1.93, 0.96, -1.0
-0.482, 0.0903, 1.0
-0.201, 1.35, -1.0
-0.507, 1.89, -1.0
-0.9, 0.858, -1.0
1.47, -0.531, -1.0
-0.53, 0.101, 1.0
0.494, 1.18, -1.0
-0.305, 0.194, 1.0
0.135, 0.0532, 1.0
1.29, 0.0437, -1.0
-0.699, -0.359, 1.0
-0.611, -1.28, -1.0
0.5, 0.762, 1.0
0.603, 0.145, 1.0
-1.47, 0.52, -1.0
0.22, -1.36, -1.0
0.919, 0.798, -1.0
0.533, 1.76, -1.0
-0.203, 1.26, -1.0
1.55, -0.0305, -1.0
1.15, 0.565, -1.0
-0.49, -1.45, -1.0
-0.44, -1.3, -1.0
-1.69, -0.176, 1.0
-0.972, 0.473, 1.0
-1.4, -0.183, 1.0
-0.744, -1.39, -1.0
-0.472, 0.267, 1.0
0.457, 0.191, 1.0
0.0722, 1.8, -1.0
-1.08, 1.01, -1.0
2.37, 1.07, 1.0
0.396, 1.81, 1.0
0.538, 1.38, -1.0
-1.69, -1.14, 1.0
0.25, -1.1, -1.0
-0.901, -1.56, -1.0
0.425, -1.21, -1.0
-0.463, -1.2, -1.0
1.11, -1.1, 1.0
-1.2, -0.826, 1.0
-0.787, -0.113, 1.0
-0.412, -0.689, -1.0
-0.452, 0.524, 1.0
-0.518, -0.914, -1.0
-0.613, 1.1, -1.0
-0.198, -0.661, 1.0
-0.0776, -1.35, -1.0
1.34, 0.0998, -1.0
-0.516, -0.915, -1.0
-0.678, -0.417, 1.0
-0.897, -1.04, -1.0
1.12, 0.375, -1.0
0.212, 1.81, -1.0
-0.214, -0.235, 1.0
0.0725, 0.596, 1.0
0.303, -0.94, -1.0
0.726, -0.626, 1.0
