@relation sonar
@attribute Band1 real [0.0020, 0.137]
@attribute Band2 real [0.0010, 0.234]
@attribute Band3 real [0.0020, 0.306]
@attribute Band4 real [0.0060, 0.426]
@attribute Band5 real [0.0070, 0.401]
@attribute Band6 real [0.01, 0.382]
@attribute Band7 real [0.0030, 0.373]
@attribute Band8 real [0.0060, 0.459]
@attribute Band9 real [0.0080, 0.683]
@attribute Band10 real [0.011, 0.711]
@attribute Band11 real [0.029, 0.734]
@attribute Band12 real [0.024, 0.706]
@attribute Band13 real [0.018, 0.713]
@attribute Band14 real [0.027, 0.997]
@attribute Band15 real [0.0030, 1.0]
@attribute Band16 real [0.016, 0.999]
@attribute Band17 real [0.035, 1.0]
@attribute Band18 real [0.038, 1.0]
@attribute Band19 real [0.049, 1.0]
@attribute Band20 real [0.066, 1.0]
@attribute Band21 real [0.051, 1.0]
@attribute Band22 real [0.022, 1.0]
@attribute Band23 real [0.056, 1.0]
@attribute Band24 real [0.024, 1.0]
@attribute Band25 real [0.024, 1.0]
@attribute Band26 real [0.092, 1.0]
@attribute Band27 real [0.048, 1.0]
@attribute Band28 real [0.028, 1.0]
@attribute Band29 real [0.014, 1.0]
@attribute Band30 real [0.061, 1.0]
@attribute Band31 real [0.048, 0.966]
@attribute Band32 real [0.04, 0.931]
@attribute Band33 real [0.048, 1.0]
@attribute Band34 real [0.021, 0.965]
@attribute Band35 real [0.022, 1.0]
@attribute Band36 real [0.0080, 1.0]
@attribute Band37 real [0.035, 0.95]
@attribute Band38 real [0.038, 1.0]
@attribute Band39 real [0.037, 0.986]
@attribute Band40 real [0.012, 0.93]
@attribute Band41 real [0.036, 0.9]
@attribute Band42 real [0.0060, 0.825]
@attribute Band43 real [0.0, 0.773]
@attribute Band44 real [0.0, 0.776]
@attribute Band45 real [0.0, 0.703]
@attribute Band46 real [0.0, 0.729]
@attribute Band47 real [0.0, 0.552]
@attribute Band48 real [0.0, 0.334]
@attribute Band49 real [0.0, 0.198]
@attribute Band50 real [0.0, 0.082]
@attribute Band51 real [0.0, 0.1]
@attribute Band52 real [0.0010, 0.071]
@attribute Band53 real [0.0, 0.039]
@attribute Band54 real [0.0010, 0.035]
@attribute Band55 real [0.0010, 0.045]
@attribute Band56 real [0.0, 0.039]
@attribute Band57 real [0.0, 0.036]
@attribute Band58 real [0.0, 0.044]
@attribute Band59 real [0.0, 0.036]
@attribute Band60 real [0.0010, 0.044]
@attribute Type {R, M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.037, 0.04, 0.032, 0.029, 0.082, 0.134, 0.116, 0.066, 0.016, 0.051, 0.091, 0.254, 0.146, 0.127, 0.122, 0.167, 0.142, 0.128, 0.186, 0.114, 0.207, 0.022, 0.24, 0.255, 0.024, 0.192, 0.475, 0.7, 0.682, 0.644, 0.706, 0.537, 0.66, 0.871, 0.952, 0.96, 0.771, 0.677, 0.643, 0.672, 0.604, 0.516, 0.38, 0.228, 0.152, 0.08, 0.08, 0.075, 0.057, 0.018, 0.0060, 0.0090, 0.016, 0.016, 0.0080, 0.0070, 0.014, 0.0070, 0.0080, 0.0070, R
0.02, 0.014, 0.018, 0.041, 0.039, 0.025, 0.089, 0.097, 0.084, 0.119, 0.152, 0.132, 0.143, 0.124, 0.065, 0.089, 0.123, 0.185, 0.388, 0.366, 0.23, 0.261, 0.419, 0.585, 0.564, 0.545, 0.477, 0.69, 0.98, 1.0, 0.955, 0.884, 0.766, 0.655, 0.545, 0.459, 0.468, 0.199, 0.07, 0.149, 0.171, 0.165, 0.26, 0.385, 0.375, 0.241, 0.108, 0.022, 0.016, 0.019, 0.012, 0.0030, 0.0070, 0.012, 0.0010, 0.0020, 0.0060, 0.0040, 0.0070, 0.0010, R
0.022, 0.022, 0.027, 0.014, 0.036, 0.078, 0.091, 0.091, 0.115, 0.097, 0.12, 0.11, 0.119, 0.176, 0.239, 0.214, 0.193, 0.176, 0.075, 0.126, 0.2, 0.157, 0.26, 0.539, 0.844, 1.0, 0.868, 0.674, 0.554, 0.464, 0.361, 0.206, 0.162, 0.209, 0.31, 0.234, 0.106, 0.038, 0.053, 0.129, 0.224, 0.192, 0.159, 0.094, 0.084, 0.067, 0.034, 0.047, 0.036, 0.014, 0.0080, 0.014, 0.0040, 0.0050, 0.0070, 0.0020, 0.0050, 0.0020, 0.0010, 0.0020, R
0.0040, 0.0080, 0.0090, 0.039, 0.053, 0.12, 0.124, 0.103, 0.124, 0.089, 0.094, 0.124, 0.16, 0.154, 0.185, 0.173, 0.148, 0.175, 0.146, 0.158, 0.226, 0.198, 0.337, 0.583, 0.85, 1.0, 0.846, 0.662, 0.556, 0.392, 0.323, 0.205, 0.192, 0.223, 0.315, 0.227, 0.08, 0.075, 0.117, 0.197, 0.262, 0.251, 0.198, 0.095, 0.093, 0.096, 0.038, 0.044, 0.034, 0.0060, 0.0080, 0.012, 0.0060, 0.0040, 0.0040, 0.0, 0.0020, 0.0050, 0.0020, 0.0020, R
0.034, 0.029, 0.048, 0.054, 0.079, 0.08, 0.114, 0.123, 0.124, 0.084, 0.036, 0.069, 0.17, 0.326, 0.46, 0.622, 0.733, 0.784, 0.799, 0.826, 1.0, 0.981, 0.962, 0.96, 0.912, 0.909, 0.793, 0.588, 0.347, 0.424, 0.463, 0.341, 0.285, 0.285, 0.174, 0.055, 0.119, 0.115, 0.086, 0.181, 0.126, 0.08, 0.038, 0.127, 0.112, 0.05, 0.095, 0.068, 0.026, 0.017, 0.0030, 0.015, 0.011, 0.0030, 0.0040, 0.017, 0.014, 0.0020, 0.0070, 0.0050, R
0.023, 0.037, 0.0040, 0.038, 0.046, 0.145, 0.221, 0.119, 0.075, 0.163, 0.271, 0.336, 0.409, 0.44, 0.548, 0.721, 0.814, 0.918, 1.0, 0.942, 0.912, 0.935, 0.748, 0.515, 0.411, 0.344, 0.698, 0.871, 0.901, 0.801, 0.438, 0.132, 0.171, 0.248, 0.304, 0.231, 0.134, 0.206, 0.247, 0.279, 0.161, 0.0060, 0.035, 0.115, 0.133, 0.028, 0.076, 0.063, 0.031, 0.024, 0.012, 0.0060, 0.0020, 0.012, 0.015, 0.0060, 0.0030, 0.0030, 0.01, 0.016, R
0.022, 0.034, 0.039, 0.024, 0.108, 0.116, 0.14, 0.101, 0.115, 0.178, 0.408, 0.411, 0.397, 0.508, 0.651, 0.807, 0.982, 1.0, 0.941, 0.845, 0.811, 0.846, 0.621, 0.582, 0.774, 0.82, 0.56, 0.299, 0.501, 0.663, 0.575, 0.406, 0.375, 0.348, 0.158, 0.142, 0.213, 0.187, 0.1, 0.24, 0.224, 0.203, 0.071, 0.161, 0.167, 0.17, 0.183, 0.14, 0.051, 0.022, 0.01, 0.0030, 0.01, 0.0080, 0.0080, 0.0090, 0.0030, 0.0030, 0.0010, 0.0070, R
0.038, 0.032, 0.042, 0.035, 0.179, 0.164, 0.089, 0.082, 0.178, 0.205, 0.314, 0.312, 0.369, 0.388, 0.585, 0.787, 0.974, 1.0, 0.984, 0.861, 0.844, 0.906, 0.585, 0.403, 0.595, 0.679, 0.639, 0.5, 0.558, 0.483, 0.473, 0.332, 0.397, 0.389, 0.231, 0.104, 0.131, 0.086, 0.257, 0.318, 0.265, 0.271, 0.171, 0.058, 0.123, 0.22, 0.22, 0.107, 0.042, 0.016, 0.0090, 0.0050, 0.0040, 0.0080, 0.01, 0.0060, 0.0060, 0.0060, 0.0040, 0.0050, R
0.046, 0.044, 0.035, 0.046, 0.0070, 0.089, 0.18, 0.174, 0.16, 0.141, 0.269, 0.326, 0.454, 0.578, 0.447, 0.223, 0.216, 0.32, 0.292, 0.424, 0.446, 0.238, 0.642, 0.897, 0.892, 0.753, 0.684, 0.839, 1.0, 0.836, 0.543, 0.458, 0.807, 0.697, 0.392, 0.156, 0.16, 0.216, 0.518, 0.478, 0.234, 0.36, 0.278, 0.181, 0.035, 0.047, 0.032, 0.041, 0.016, 0.0090, 0.012, 0.0070, 0.0030, 0.011, 0.016, 0.015, 0.0070, 0.0080, 0.012, 0.0060, R
0.016, 0.025, 0.026, 0.039, 0.064, 0.047, 0.106, 0.139, 0.06, 0.133, 0.297, 0.475, 0.568, 0.569, 0.642, 0.749, 0.9, 1.0, 0.969, 0.903, 0.768, 0.7, 0.664, 0.596, 0.371, 0.092, 0.048, 0.088, 0.104, 0.171, 0.326, 0.461, 0.394, 0.505, 0.483, 0.351, 0.232, 0.403, 0.368, 0.151, 0.074, 0.14, 0.155, 0.038, 0.064, 0.044, 0.026, 0.022, 0.019, 0.0080, 0.014, 0.0070, 0.0080, 0.023, 0.02, 0.0070, 0.0040, 0.01, 0.0050, 0.0020, M
0.026, 0.0070, 0.034, 0.079, 0.104, 0.078, 0.142, 0.118, 0.045, 0.094, 0.113, 0.084, 0.072, 0.197, 0.263, 0.419, 0.505, 0.671, 0.792, 0.838, 0.876, 0.942, 1.0, 0.993, 0.958, 0.865, 0.722, 0.58, 0.496, 0.489, 0.408, 0.244, 0.177, 0.247, 0.352, 0.376, 0.291, 0.231, 0.317, 0.355, 0.374, 0.444, 0.326, 0.196, 0.086, 0.169, 0.199, 0.122, 0.063, 0.032, 0.025, 0.021, 0.026, 0.018, 0.0040, 0.0070, 0.012, 0.0080, 0.0080, 0.0070, M
0.039, 0.032, 0.069, 0.09, 0.127, 0.152, 0.213, 0.261, 0.283, 0.272, 0.364, 0.393, 0.384, 0.468, 0.536, 0.482, 0.484, 0.586, 0.758, 0.7, 0.692, 0.863, 0.911, 0.935, 0.788, 0.858, 0.926, 0.708, 0.578, 0.522, 0.45, 0.313, 0.145, 0.105, 0.182, 0.152, 0.102, 0.144, 0.199, 0.204, 0.278, 0.288, 0.133, 0.114, 0.131, 0.143, 0.062, 0.01, 0.01, 0.013, 0.015, 0.026, 0.0070, 0.026, 0.0080, 0.011, 0.011, 0.0070, 0.01, 0.0070, M
0.023, 0.085, 0.1, 0.043, 0.112, 0.165, 0.16, 0.212, 0.33, 0.352, 0.333, 0.364, 0.402, 0.473, 0.52, 0.657, 0.843, 0.848, 0.834, 0.845, 0.8, 0.854, 0.964, 1.0, 0.936, 0.941, 0.907, 0.71, 0.632, 0.567, 0.35, 0.245, 0.17, 0.329, 0.367, 0.233, 0.241, 0.256, 0.189, 0.194, 0.307, 0.278, 0.031, 0.124, 0.185, 0.175, 0.108, 0.073, 0.024, 0.019, 0.016, 0.017, 0.019, 0.026, 0.014, 0.012, 0.012, 0.0090, 0.0010, 0.0040, M
0.037, 0.059, 0.063, 0.053, 0.026, 0.142, 0.207, 0.273, 0.307, 0.26, 0.348, 0.4, 0.457, 0.595, 0.792, 0.827, 0.809, 0.898, 0.983, 0.898, 0.889, 0.937, 0.912, 0.794, 0.672, 0.632, 0.486, 0.339, 0.483, 0.382, 0.308, 0.127, 0.074, 0.151, 0.191, 0.182, 0.171, 0.095, 0.283, 0.301, 0.16, 0.148, 0.288, 0.205, 0.106, 0.14, 0.106, 0.053, 0.04, 0.018, 0.035, 0.012, 0.0060, 0.024, 0.0030, 0.0090, 0.012, 0.011, 0.01, 0.013, M
0.097, 0.082, 0.063, 0.061, 0.062, 0.121, 0.094, 0.422, 0.574, 0.502, 0.349, 0.17, 0.208, 0.309, 0.422, 0.531, 0.244, 0.188, 0.191, 0.832, 1.0, 0.408, 0.096, 0.193, 0.242, 0.379, 0.289, 0.345, 0.378, 0.521, 0.232, 0.334, 0.478, 0.612, 0.67, 0.738, 0.736, 0.779, 0.679, 0.526, 0.276, 0.154, 0.202, 0.223, 0.422, 0.307, 0.133, 0.135, 0.106, 0.05, 0.021, 0.0070, 0.0080, 0.03, 0.019, 0.021, 0.013, 0.02, 0.021, 0.0040, M
0.0090, 0.061, 0.114, 0.12, 0.04, 0.123, 0.25, 0.457, 0.659, 0.508, 0.335, 0.083, 0.3, 0.396, 0.377, 0.383, 0.125, 0.136, 0.268, 0.919, 0.978, 0.324, 0.194, 0.187, 0.088, 0.344, 0.295, 0.591, 0.456, 0.733, 0.197, 0.279, 0.621, 0.868, 0.862, 0.938, 0.833, 0.948, 0.672, 0.444, 0.516, 0.381, 0.156, 0.145, 0.266, 0.181, 0.17, 0.256, 0.113, 0.02, 0.048, 0.023, 0.018, 0.035, 0.016, 0.033, 0.02, 0.017, 0.024, 0.015, M
0.073, 0.125, 0.166, 0.15, 0.144, 0.277, 0.256, 0.171, 0.047, 0.111, 0.174, 0.316, 0.325, 0.216, 0.203, 0.258, 0.18, 0.242, 0.361, 0.181, 0.26, 0.657, 0.973, 0.976, 0.808, 0.652, 0.492, 0.536, 0.765, 0.525, 0.51, 0.422, 0.416, 0.191, 0.022, 0.422, 0.55, 0.248, 0.203, 0.273, 0.284, 0.446, 0.318, 0.081, 0.119, 0.213, 0.324, 0.294, 0.147, 0.021, 0.036, 0.044, 0.023, 0.029, 0.014, 0.016, 0.018, 0.019, 0.021, 0.0060, M
0.016, 0.063, 0.074, 0.061, 0.023, 0.105, 0.134, 0.064, 0.152, 0.078, 0.179, 0.268, 0.179, 0.104, 0.198, 0.323, 0.375, 0.259, 0.368, 0.351, 0.561, 0.523, 0.547, 0.695, 0.635, 0.676, 0.85, 0.802, 0.656, 0.859, 0.666, 0.537, 0.312, 0.376, 0.28, 0.088, 0.332, 0.424, 0.18, 0.374, 0.463, 0.161, 0.249, 0.32, 0.226, 0.115, 0.048, 0.094, 0.082, 0.017, 0.024, 0.026, 0.014, 0.023, 0.019, 0.018, 0.011, 0.0090, 0.0080, 0.011, M
0.071, 0.125, 0.145, 0.164, 0.169, 0.084, 0.072, 0.095, 0.158, 0.125, 0.234, 0.176, 0.228, 0.312, 0.472, 0.554, 0.539, 0.375, 0.458, 0.596, 0.746, 0.764, 0.571, 0.626, 0.67, 0.713, 0.757, 0.808, 0.848, 0.929, 0.951, 0.8, 0.436, 0.405, 0.495, 0.171, 0.365, 0.376, 0.284, 0.043, 0.533, 0.695, 0.429, 0.306, 0.584, 0.569, 0.263, 0.12, 0.098, 0.037, 0.029, 0.016, 0.02, 0.014, 0.013, 0.014, 0.013, 0.013, 0.015, 0.022, M
0.072, 0.157, 0.111, 0.108, 0.067, 0.18, 0.111, 0.279, 0.141, 0.08, 0.253, 0.392, 0.338, 0.161, 0.189, 0.331, 0.228, 0.218, 0.185, 0.517, 0.534, 0.63, 0.844, 0.676, 0.582, 0.614, 0.881, 0.838, 0.387, 0.505, 0.546, 0.424, 0.153, 0.495, 0.698, 0.711, 0.565, 0.487, 0.552, 0.443, 0.525, 0.608, 0.525, 0.136, 0.427, 0.444, 0.219, 0.09, 0.12, 0.063, 0.023, 0.031, 0.013, 0.0080, 0.028, 0.012, 0.0090, 0.015, 0.016, 0.013, M
0.021, 0.013, 0.0020, 0.045, 0.071, 0.156, 0.152, 0.121, 0.167, 0.134, 0.078, 0.037, 0.123, 0.261, 0.428, 0.612, 0.744, 0.813, 0.901, 0.96, 0.916, 0.914, 0.785, 0.513, 0.344, 0.329, 0.257, 0.368, 0.576, 0.619, 0.461, 0.362, 0.443, 0.386, 0.309, 0.214, 0.111, 0.139, 0.152, 0.1, 0.164, 0.19, 0.131, 0.178, 0.2, 0.076, 0.073, 0.075, 0.045, 0.013, 0.017, 0.012, 0.0020, 0.0050, 0.0050, 0.0030, 0.0020, 0.0040, 0.0050, 0.0020, M
0.016, 0.02, 0.02, 0.039, 0.075, 0.144, 0.149, 0.148, 0.244, 0.282, 0.369, 0.375, 0.393, 0.331, 0.108, 0.114, 0.345, 0.544, 0.647, 0.728, 0.789, 0.826, 0.87, 0.784, 0.714, 0.57, 0.291, 0.464, 0.641, 0.74, 0.807, 0.842, 1.0, 0.954, 0.676, 0.39, 0.125, 0.363, 0.636, 0.812, 0.766, 0.542, 0.261, 0.172, 0.281, 0.276, 0.198, 0.15, 0.122, 0.049, 0.0030, 0.0080, 0.0030, 0.0030, 0.0080, 0.0020, 0.0080, 0.011, 0.0080, 0.0030, M
0.041, 0.028, 0.06, 0.052, 0.049, 0.038, 0.061, 0.112, 0.124, 0.23, 0.137, 0.134, 0.214, 0.153, 0.078, 0.12, 0.09, 0.069, 0.207, 0.298, 0.284, 0.335, 0.362, 0.32, 0.345, 0.356, 0.389, 0.662, 0.925, 1.0, 0.853, 0.63, 0.525, 0.401, 0.29, 0.201, 0.336, 0.48, 0.615, 0.625, 0.497, 0.349, 0.266, 0.314, 0.428, 0.426, 0.351, 0.246, 0.126, 0.033, 0.018, 0.022, 0.0040, 0.0020, 0.0060, 0.013, 0.011, 0.0050, 0.0080, 0.0040, M
0.013, 0.012, 0.044, 0.062, 0.043, 0.035, 0.038, 0.045, 0.132, 0.138, 0.203, 0.239, 0.211, 0.144, 0.074, 0.153, 0.305, 0.412, 0.547, 0.593, 0.666, 0.733, 0.714, 0.701, 0.776, 0.914, 0.996, 1.0, 0.888, 0.658, 0.271, 0.175, 0.271, 0.485, 0.718, 0.821, 0.754, 0.65, 0.471, 0.348, 0.351, 0.318, 0.352, 0.366, 0.285, 0.171, 0.069, 0.03, 0.029, 0.012, 0.0020, 0.0080, 0.01, 0.0020, 0.0040, 0.0060, 0.0010, 0.0010, 0.0030, 0.0030, M
0.018, 0.014, 0.041, 0.063, 0.06, 0.081, 0.209, 0.346, 0.528, 0.596, 0.625, 0.451, 0.369, 0.286, 0.164, 0.042, 0.178, 0.439, 0.695, 0.81, 0.855, 0.872, 0.86, 0.92, 0.873, 0.808, 0.869, 0.841, 0.579, 0.375, 0.348, 0.464, 0.65, 0.69, 0.567, 0.519, 0.506, 0.388, 0.376, 0.374, 0.26, 0.159, 0.188, 0.227, 0.158, 0.121, 0.088, 0.085, 0.036, 0.022, 0.0090, 0.012, 0.0060, 0.019, 0.011, 0.013, 0.0080, 0.016, 0.016, 0.0080, M
