@relation bands
@attribute Proof_cut real[25.0,72.5]
@attribute Viscosity integer[35,72]
@attribute Caliper real[0.133,0.533]
@attribute Ink_temperature real[11.2,24.5]
@attribute Humifity integer[57,105]
@attribute Roughness real[0.056,1.25]
@attribute Blade_pressure integer[16,70]
@attribute Varnish_pct real[0.0,35.8]
@attribute Press_speed integer[0,2600]
@attribute Ink_pct real[41.0,76.9]
@attribute Solvent_pct real[22.0,53.4]
@attribute Esa_voltage real[0.0,16.0]
@attribute ESA_amperage real[0.0,6.0]
@attribute Wax real[0.0,3.1]
@attribute Hardener real[0.0,3.0]
@attribute Roller_durometer real[28.0,60.0]
@attribute Density integer[30,45]
@attribute Anode_ratio real[83.33,117.86]
@attribute Chrome_content integer[90,100]
@attribute Band_type{band,noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
47.5,58,0.333,14.0,85,0.75,28,16.5,1800,48.5,35.0,0.0,0.0,2.5,0.5,35.0,40,114.3,100,band
30.0,54,0.333,16.3,80,0.812,30,0.0,2100,60.0,40.0,3.0,0.0,2.5,1.2,30.0,40,114.29,100,noband
40.0,51,0.233,15.0,70,0.25,24,0.5,0,59.5,40.0,0.0,0.0,3.0,1.0,35.0,40,100.0,100,band
32.5,43,0.2,13.0,80,0.75,28,0.0,1500,62.5,37.5,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
50.0,43,0.267,14.0,74,0.625,20,2.2,1800,56.2,41.6,0.0,0.0,3.0,1.0,38.0,40,96.875,100,band
32.5,47,0.267,16.1,88,0.312,28,0.0,2189,62.5,37.5,0.0,0.0,2.4,0.8,30.0,40,100.0,100,noband
32.5,45,0.233,14.0,94,0.625,25,0.0,1800,66.7,33.3,0.0,0.0,2.1,1.0,30.0,40,100.0,100,band
45.0,42,0.3,15.0,70,0.812,40,0.0,1500,58.8,41.2,3.0,0.0,2.0,1.0,30.0,40,100.0,100,band
37.5,40,0.2,14.0,80,0.25,24,0.0,2400,58.8,41.2,2.0,0.0,2.5,0.8,30.0,40,106.45,100,noband
40.0,60,0.2,15.0,80,0.625,50,0.0,1400,58.8,41.2,0.0,0.0,3.0,0.6,34.0,40,103.1,100,noband
50.0,60,0.267,16.0,78,0.5,28,4.5,1520,53.0,42.0,0.0,0.0,2.5,1.5,34.0,40,106.2,100,band
42.5,52,0.2,16.0,82,0.75,30,0.0,2150,58.8,41.2,0.0,0.0,2.5,1.0,33.0,40,110.0,100,band
30.0,40,0.2,14.0,73,0.562,30,0.0,1800,58.8,41.2,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
