@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
40.0,40,0.35,18.5,85,0.562,30,0.0,1900,62.5,37.5,4.0,0.0,1.8,1.4,40.0,40,106.45,100,band
42.5,41,0.3,14.0,70,0.625,20,2.3,1750,57.5,40.0,4.0,0.0,2.5,0.7,35.0,40,96.97,100,noband
35.0,39,0.2,16.2,84,1.0,30,0.0,2100,62.5,37.5,4.0,0.0,2.0,0.9,30.0,40,94.117,100,noband
40.0,43,0.35,16.5,72,0.625,20,9.1,2000,56.8,34.1,4.0,0.0,2.5,0.5,35.0,40,103.22,100,noband
40.0,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4.0,0.0,1.8,0.9,35.0,40,103.22,100,noband
35.0,44,0.2,15.5,100,0.875,30,0.0,2200,53.2,46.8,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
47.0,43,0.267,16.0,80,0.562,30,9.1,2400,50.5,40.4,0.0,0.0,2.5,1.1,30.0,40,103.125,100,noband
45.0,57,0.267,14.0,76,0.75,20,3.4,1800,56.2,40.4,2.0,0.0,2.0,0.8,34.0,40,103.125,100,band
50.0,60,0.267,13.6,86,1.125,28,0.0,1500,64.1,35.9,0.0,0.0,2.5,1.0,33.0,40,106.45,100,band
50.0,50,0.2,15.5,74,0.75,58,4.8,1420,59.5,35.7,3.0,0.0,3.0,1.0,40.0,40,106.45,100,noband
35.0,56,0.233,16.0,82,0.562,28,5.6,2100,56.2,38.2,0.0,0.0,1.7,0.4,30.0,40,103.125,100,noband
40.0,54,0.2,15.8,76,0.5,38,5.6,1736,55.6,38.9,0.0,0.0,2.5,1.5,35.0,40,103.125,100,noband
40.0,54,0.2,15.4,78,0.5,34,5.7,1736,56.8,36.9,0.0,0.0,2.5,1.1,35.0,40,103.125,100,noband
55.0,45,0.267,15.5,79,0.625,20,16.7,1850,54.3,34.3,4.0,0.0,2.5,1.0,34.0,40,100.0,100,noband
45.0,54,0.367,15.5,74,0.562,40,10.5,2250,52.6,36.8,2.0,0.0,2.5,1.8,30.0,40,106.45,100,noband
40.0,62,0.3,16.0,84,0.938,28,0.0,2200,58.8,41.2,4.0,0.0,2.5,0.6,30.0,40,106.45,100,noband
40.0,64,0.233,15.0,82,0.75,31,0.0,2400,60.0,40.0,3.0,0.0,2.5,1.0,30.0,40,106.66,100,noband
50.0,62,0.4,14.9,96,0.75,26,11.0,1950,50.0,39.0,0.0,0.0,2.8,0.8,33.0,40,110.0,100,noband
35.0,68,0.4,15.1,90,0.875,30,6.0,1500,59.5,34.5,1.0,0.0,2.5,1.0,35.0,40,106.89,100,band
32.5,56,0.367,15.03,79,0.312,28,5.3,2244,52.6,42.1,0.0,0.0,1.8,0.5,30.0,40,106.45,100,noband
47.5,63,0.3,16.4,84,0.5,27,20.7,1800,41.3,38.0,5.0,0.0,2.6,0.3,40.0,33,96.7,100,band
47.5,41,0.333,18.0,74,0.5,30,17.7,1900,44.2,38.1,2.0,0.0,2.5,1.0,40.0,33,100.0,100,band
40.0,54,0.3,15.0,88,0.75,28,0.0,1800,58.8,41.2,0.0,0.0,2.5,1.2,30.0,33,100.0,100,noband
52.5,62,0.433,14.5,95,0.75,20,0.0,1950,58.8,41.2,0.0,0.0,2.0,1.0,38.0,35,100.0,100,band
30.0,58,0.333,16.3,78,0.625,30,0.0,2150,58.8,41.2,10.0,0.0,2.5,1.0,30.0,35,90.0,100,noband
65.0,49,0.333,13.5,82,0.625,30,0.0,1350,68.2,31.8,1.0,0.0,2.5,1.0,38.0,37,103.2,100,band
65.0,58,0.4,15.0,74,0.625,32,0.0,1800,57.5,42.5,1.0,0.0,2.5,1.0,38.0,37,103.2,100,band
30.0,56,0.2,14.7,87,0.875,20,0.0,2150,58.8,41.2,12.0,0.0,1.5,0.6,30.0,40,96.8,100,noband
50.0,61,0.333,13.1,70,0.75,25,21.7,2100,41.7,36.6,5.0,0.0,2.5,0.8,30.0,35,105.2,100,noband
45.0,54,0.2,15.0,80,0.812,20,0.0,2000,58.8,41.2,0.0,0.0,1.5,0.6,33.0,35,111.1,100,noband
55.0,54,0.3,15.8,79,0.5,30,12.4,1500,51.5,36.1,0.0,0.0,3.0,0.5,32.0,35,93.3,100,noband
57.5,51,0.267,15.6,81,0.75,25,9.8,1850,49.0,41.2,0.0,0.0,2.7,0.6,34.0,30,100.0,100,noband
35.0,56,0.267,15.0,70,1.0,33,0.0,2350,65.2,34.8,0.0,0.0,2.5,1.0,30.0,40,93.75,90,band
60.0,60,0.267,14.0,76,0.375,30,10.3,1900,51.5,38.1,5.0,0.0,2.6,1.1,40.0,40,103.3,100,noband
55.0,50,0.2,17.0,78,0.25,32,9.7,1900,52.2,38.1,0.0,0.0,3.0,0.9,35.0,40,96.97,90,band
47.5,53,0.3,15.0,72,0.75,25,22.0,1500,45.9,32.1,0.0,0.0,2.5,0.8,35.0,40,114.3,100,band
55.0,48,0.233,18.0,76,0.25,24,10.0,1600,60.0,30.0,0.0,0.0,3.0,0.9,35.0,40,93.55,90,band
65.0,42,0.233,17.5,100,1.125,25,17.5,2250,48.5,34.0,0.0,0.0,2.5,1.0,40.0,40,100.0,100,noband
50.0,43,0.267,17.0,72,0.625,30,14.3,1600,47.6,38.1,0.0,0.0,2.5,1.0,34.0,40,96.77,100,band
32.5,43,0.2,13.0,80,0.75,28,0.0,1500,62.5,37.5,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
37.5,43,0.2,15.8,80,0.5,32,0.0,2400,62.5,37.5,5.0,0.0,2.5,0.9,35.0,40,96.77,100,noband
40.0,47,0.2,16.53,78,0.812,24,0.0,2189,58.8,41.2,0.0,0.0,2.0,0.8,30.0,40,100.0,100,noband
45.0,41,0.2,15.0,78,0.75,20,14.6,1800,48.5,36.9,0.0,0.0,2.5,1.0,34.0,40,100.0,100,noband
50.0,42,0.233,15.0,90,1.0,35,0.0,1650,55.5,44.5,0.0,0.0,2.5,1.0,38.0,40,100.0,100,band
40.0,42,0.2,12.7,84,0.5,32,0.0,1750,62.5,37.5,0.0,0.0,2.5,0.9,40.0,40,100.0,100,noband
40.0,42,0.333,15.5,64,0.625,20,10.5,1550,52.6,36.9,0.0,0.0,2.0,0.6,40.0,40,106.25,100,noband
40.0,42,0.333,16.0,78,0.625,20,0.0,1550,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40,106.25,100,noband
32.0,42,0.233,16.0,70,0.625,46,0.0,1350,60.2,39.8,0.0,0.0,3.0,1.0,34.0,40,100.0,100,noband
32.0,42,0.233,16.0,70,0.625,48,0.0,1350,63.9,36.1,0.0,0.0,3.0,1.0,34.0,40,100.0,100,noband
45.0,57,0.233,15.0,88,0.562,30,10.4,1900,52.1,37.5,0.0,0.0,2.5,1.8,30.0,40,100.0,100,noband
42.5,47,0.2,16.2,78,0.75,30,0.0,2100,56.2,43.8,0.0,0.0,2.5,1.2,33.0,40,110.0,100,band
40.0,60,0.2,14.5,85,1.0,35,0.0,1250,58.8,41.2,2.5,0.0,1.5,1.0,30.0,40,100.0,100,band
40.0,69,0.2,14.5,76,0.625,22,0.0,1250,58.8,41.2,1.0,0.0,2.5,1.0,35.0,40,100.0,100,band
50.0,40,0.2,15.2,78,1.0,24,0.0,1850,58.8,41.2,0.0,0.0,2.9,1.1,40.0,40,103.13,100,band
45.0,63,0.267,15.0,80,0.75,50,0.0,1470,58.8,41.2,2.0,0.0,3.0,1.0,34.0,40,100.0,100,band
