@relation bands
@attribute Proof_cut real [25.0, 72.5]
@attribute Viscosity integer [35, 72]
@attribute Caliper real [0.133, 0.533]
@attribute Ink_temperature real [11.2, 24.5]
@attribute Humifity integer [57, 105]
@attribute Roughness real [0.056, 1.25]
@attribute Blade_pressure integer [16, 70]
@attribute Varnish_pct real [0.0, 35.8]
@attribute Press_speed integer [0, 2600]
@attribute Ink_pct real [41.0, 76.9]
@attribute Solvent_pct real [22.0, 53.4]
@attribute Esa_voltage real [0.0, 16.0]
@attribute ESA_amperage real [0.0, 6.0]
@attribute Wax real [0.0, 3.1]
@attribute Hardener real [0.0, 3.0]
@attribute Roller_durometer real [28.0, 60.0]
@attribute Density integer [30, 45]
@attribute Anode_ratio real [83.33, 117.86]
@attribute Chrome_content integer [90, 100]
@attribute Band_type {band, noband}
@inputs Proof_cut, Viscosity, Caliper, Ink_temperature, Humifity, Roughness, Blade_pressure, Varnish_pct, Press_speed, Ink_pct, Solvent_pct, Esa_voltage, ESA_amperage, Wax, Hardener, Roller_durometer, Density, Anode_ratio, Chrome_content
@outputs Band_type
@data
70.0,43,0.3,18.1,78,0.5,28,14.4,2125,48.1,37.5,5.0,0.0,3.0,0.9,33.0,40,100.0,100,noband
40.0,46,0.3,15.0,70,0.75,50,0.0,1800,53.9,46.1,0.0,0.0,2.5,1.0,40.0,40,100.0,100,band
40.0,50,0.233,14.0,70,0.75,45,0.0,1800,60.2,39.8,0.0,0.0,2.5,1.0,40.0,40,100.0,100,band
50.0,42,0.367,15.5,73,0.625,20,3.6,1800,60.2,36.2,0.0,0.0,2.5,0.9,34.0,40,106.25,100,noband
45.0,42,0.3,15.0,70,0.812,40,0.0,1500,58.8,41.2,3.0,0.0,2.0,1.0,30.0,40,100.0,100,band
45.0,60,0.3,16.0,88,0.75,33,0.0,1500,56.8,43.2,0.0,0.0,2.9,1.1,40.0,40,103.22,100,band
45.0,40,0.3,16.0,89,0.625,22,0.0,1300,60.0,40.0,1.0,0.0,2.5,1.0,40.0,40,106.45,100,band
45.0,42,0.367,16.0,83,0.625,30,0.0,1950,58.8,41.2,0.0,0.0,2.5,1.0,40.0,40,106.45,100,band
45.0,41,0.267,13.3,70,0.75,50,0.0,1700,63.9,36.1,0.0,0.0,3.0,0.7,38.0,40,117.85,100,noband
37.5,40,0.2,14.0,80,0.25,24,0.0,2400,58.8,41.2,2.0,0.0,2.5,0.8,30.0,40,106.45,100,noband
50.0,40,0.3,15.0,72,0.75,30,0.0,2233,58.8,41.2,8.0,0.0,1.5,1.0,33.0,40,106.45,100,noband
50.0,41,0.2,15.7,80,1.0,43,0.0,1800,62.5,37.5,1.0,0.0,2.5,1.5,30.0,40,106.45,100,noband
40.0,41,0.267,15.5,76,0.75,28,3.6,1750,60.2,36.1,4.0,0.0,3.0,1.0,40.0,40,117.85,100,noband
45.0,58,0.2,15.0,72,0.625,25,10.5,2100,52.6,36.8,5.0,0.0,2.5,0.8,33.0,40,103.125,100,noband
42.0,58,0.233,16.0,78,0.5,25,0.0,1800,58.8,41.2,5.0,0.0,2.5,1.0,34.0,40,103.125,100,noband
35.0,41,0.267,16.66,78,0.75,50,7.6,1490,54.3,38.0,0.0,0.0,3.0,1.0,35.0,40,106.7,100,noband
40.0,60,0.2,15.0,80,0.625,50,0.0,1400,58.8,41.2,0.0,0.0,3.0,0.6,34.0,40,103.1,100,noband
50.0,60,0.267,16.0,78,0.5,28,4.5,1520,53.0,42.0,0.0,0.0,2.5,1.5,34.0,40,106.2,100,band
55.0,61,0.283,21.0,78,1.0,28,0.0,1500,58.8,41.2,3.0,0.0,2.5,0.7,35.0,40,100.0,100,band
50.0,47,0.2,15.0,80,0.625,28,0.0,1750,59.0,41.0,0.0,0.0,1.0,1.0,38.0,40,91.89,100,band
40.0,40,0.3,14.9,75,0.625,28,4.3,2000,53.2,42.5,4.0,0.0,2.5,1.5,30.0,40,117.86,100,band
40.0,65,0.2,15.0,80,0.625,50,10.4,1640,47.2,42.4,1.0,0.0,3.0,1.5,32.0,40,103.13,100,band
40.0,39,0.2,15.0,72,0.375,30,0.0,2000,58.1,41.9,1.0,0.0,2.5,0.3,35.0,40,109.9,100,band
